poi_id,input_checkins,output_interactions,output_views,output_transactions,output_reviews,input_unique_users,output_unique_users,interaction_diff,user_diff
POI-ID-608e9c35,105,105,76,17,12,65,65,0,0
POI-ID-7f84cb45,4,4,4,0,0,4,4,0,0
POI-ID-2d569354,18,18,12,3,3,6,6,0,0
POI-ID-969f1b85,9,9,8,1,0,8,8,0,0
POI-ID-95edf13b,8,8,8,0,0,8,8,0,0
POI-ID-af9e46c4,11,11,9,2,0,9,9,0,0
POI-ID-d075fd1d,2,2,2,0,0,2,2,0,0
POI-ID-8afa4241,14,14,12,1,1,14,14,0,0
POI-ID-422c0a78,23,23,21,2,0,21,21,0,0
POI-ID-27d8939f,7,7,7,0,0,7,7,0,0
POI-ID-9de575e0,17,17,11,5,1,12,12,0,0
POI-ID-0780cf60,34,34,30,2,2,27,27,0,0
POI-ID-df6dade9,4,4,3,1,0,3,3,0,0
POI-ID-556d6bfa,34,34,30,3,1,30,30,0,0
POI-ID-420c9d71,15,15,14,1,0,14,14,0,0
POI-ID-5c54f7b8,12,12,10,1,1,8,8,0,0
POI-ID-8a95a0f8,3,3,3,0,0,3,3,0,0
POI-ID-c8072263,1,1,1,0,0,1,1,0,0
POI-ID-17476a35,40,40,34,5,1,34,34,0,0
POI-ID-016c883d,5,5,5,0,0,5,5,0,0
POI-ID-11ff6f19,30,30,27,2,1,27,27,0,0
POI-ID-87b99bca,4,4,4,0,0,4,4,0,0
POI-ID-2493c334,15,15,9,3,3,8,8,0,0
POI-ID-181dda10,225,225,143,53,29,95,95,0,0
POI-ID-c73b7efd,62,62,42,13,7,27,27,0,0
POI-ID-3ce45370,12,12,10,1,1,8,8,0,0
POI-ID-b4edb043,16,16,8,4,4,5,5,0,0
POI-ID-eda11b86,191,191,125,45,21,87,87,0,0
POI-ID-d283943f,15,15,11,2,2,8,8,0,0
POI-ID-5e17d622,22,22,14,4,4,11,11,0,0
POI-ID-609669b4,34,34,23,8,3,20,20,0,0
POI-ID-9392b6b3,69,69,62,3,4,61,61,0,0
POI-ID-4cb70abc,50,50,34,10,6,31,31,0,0
POI-ID-8700d63c,119,119,107,10,2,107,107,0,0
POI-ID-71a2d80e,1503,1503,935,359,209,646,646,0,0
POI-ID-a87c742f,66,66,47,12,7,43,43,0,0
POI-ID-ff60a8f0,51,51,40,6,5,38,38,0,0
POI-ID-38681322,10,10,9,1,0,9,9,0,0
POI-ID-628be70c,2,2,1,1,0,1,1,0,0
POI-ID-4e021a18,66,66,43,15,8,35,35,0,0
POI-ID-8cfb6d57,22,22,13,5,4,10,10,0,0
POI-ID-38974437,26,26,20,4,2,20,20,0,0
POI-ID-f37cce61,119,119,82,25,12,56,56,0,0
POI-ID-a15a2da9,4,4,4,0,0,4,4,0,0
POI-ID-3af3c2af,43,43,34,6,3,34,34,0,0
POI-ID-2f82c70f,65,65,54,7,4,54,54,0,0
POI-ID-add5d2cc,699,699,477,141,81,416,416,0,0
POI-ID-95378937,29,29,23,4,2,24,24,0,0
POI-ID-72f914cb,63,63,54,7,2,54,54,0,0
POI-ID-f107ddfd,23,23,22,1,0,22,22,0,0
POI-ID-de8f6c94,17,17,10,4,3,7,7,0,0
POI-ID-1c6bf506,3,3,3,0,0,3,3,0,0
POI-ID-7ab17ec8,91,91,67,16,8,62,62,0,0
POI-ID-9c0e3748,13,13,10,2,1,10,10,0,0
POI-ID-47a939dd,22,22,18,3,1,18,18,0,0
POI-ID-a0be36c9,191,191,138,36,17,122,122,0,0
POI-ID-44015cfc,57,57,38,12,7,31,31,0,0
POI-ID-0089c39d,120,120,96,18,6,91,91,0,0
POI-ID-bbc5a76e,81,81,62,16,3,58,58,0,0
POI-ID-5a6b1db8,14,14,12,2,0,12,12,0,0
POI-ID-cd8746f6,2,2,2,0,0,2,2,0,0
POI-ID-16d935ec,23,23,23,0,0,23,23,0,0
POI-ID-91b567f8,30,30,25,4,1,25,25,0,0
POI-ID-2f6a931e,1,1,1,0,0,1,1,0,0
POI-ID-4c4bce67,6,6,5,1,0,5,5,0,0
POI-ID-10d2980f,5,5,5,0,0,5,5,0,0
POI-ID-407e627b,5,5,5,0,0,5,5,0,0
POI-ID-caaea613,11,11,9,2,0,9,9,0,0
POI-ID-e51eae38,154,154,104,32,18,85,85,0,0
POI-ID-704bdbfa,59,59,51,6,2,50,50,0,0
POI-ID-6aa0d554,47,47,34,8,5,32,32,0,0
POI-ID-af1ff018,183,183,140,30,13,133,133,0,0
POI-ID-2097c998,206,206,158,34,14,148,148,0,0
POI-ID-3a187be0,106,106,72,22,12,58,58,0,0
POI-ID-6195123f,30,30,26,3,1,26,26,0,0
POI-ID-bb9f60f1,49,49,35,10,4,35,35,0,0
POI-ID-7e82e1af,13,13,10,2,1,9,9,0,0
POI-ID-72c3347b,29,29,22,4,3,22,22,0,0
POI-ID-ef9d08be,3,3,3,0,0,3,3,0,0
POI-ID-02911fb4,12,12,12,0,0,12,12,0,0
POI-ID-d2ddb36c,31,31,25,4,2,25,25,0,0
POI-ID-fe5c0cf0,8,8,6,1,1,6,6,0,0
POI-ID-2cf3250f,41,41,26,8,7,20,20,0,0
POI-ID-22888b4c,12,12,9,1,2,7,7,0,0
POI-ID-027f5bae,15,15,15,0,0,15,15,0,0
POI-ID-f8415782,7,7,5,2,0,5,5,0,0
POI-ID-c0423026,158,158,112,32,14,99,99,0,0
POI-ID-d291ebe8,12,12,10,1,1,10,10,0,0
POI-ID-0941d74c,18,18,14,2,2,10,10,0,0
POI-ID-199e365e,50,50,46,3,1,46,46,0,0
POI-ID-a84701ad,72,72,62,7,3,62,62,0,0
POI-ID-afed5962,18,18,11,3,4,9,9,0,0
POI-ID-3044118e,3,3,2,1,0,2,2,0,0
POI-ID-20157f6c,79,79,56,14,9,44,44,0,0
POI-ID-ee8e99b2,125,125,90,22,13,75,75,0,0
POI-ID-af5dfb28,47,47,32,10,5,27,27,0,0
POI-ID-3e6d2b81,18,18,15,3,0,15,15,0,0
POI-ID-dc5518dd,4,4,3,1,0,4,4,0,0
POI-ID-2ea6a0a7,859,859,574,179,106,494,494,0,0
POI-ID-0610f01c,42,42,33,4,5,30,30,0,0
POI-ID-5dfdf130,1,1,1,0,0,1,1,0,0
POI-ID-af21d317,31,31,27,4,0,27,27,0,0
POI-ID-7901cfdd,44,44,43,1,0,43,43,0,0
POI-ID-e83e4e48,28,28,28,0,0,28,28,0,0
POI-ID-4a0817f1,374,374,237,84,53,204,204,0,0
POI-ID-645ed6e0,2,2,2,0,0,2,2,0,0
POI-ID-8d368559,20,20,13,5,2,10,10,0,0
POI-ID-75931765,14,14,14,0,0,14,14,0,0
POI-ID-552d1df0,328,328,250,52,26,232,232,0,0
POI-ID-5d00e8c2,9,9,5,2,2,5,5,0,0
POI-ID-3b324a07,1,1,1,0,0,1,1,0,0
POI-ID-94f12939,34,34,24,6,4,14,14,0,0
POI-ID-353d839c,209,209,133,52,24,69,69,0,0
POI-ID-f94db622,2,2,2,0,0,2,2,0,0
POI-ID-b4a26078,42,42,29,9,4,13,13,0,0
POI-ID-7c50a2f2,78,78,52,18,8,34,34,0,0
POI-ID-8082617d,194,194,153,32,9,149,149,0,0
POI-ID-f8f015bc,13,13,10,3,0,10,10,0,0
POI-ID-5e7a6e91,6,6,5,1,0,5,5,0,0
POI-ID-b820ec42,6,6,6,0,0,6,6,0,0
POI-ID-e9022ab0,38,38,31,5,2,31,31,0,0
POI-ID-f3f2ce5f,17,17,15,1,1,15,15,0,0
POI-ID-326424f2,5,5,3,1,1,1,1,0,0
POI-ID-f76ab649,11,11,9,1,1,9,9,0,0
POI-ID-9aa19053,3,3,3,0,0,3,3,0,0
POI-ID-c085c307,52,52,39,9,4,34,34,0,0
POI-ID-56f57563,12,12,9,2,1,9,9,0,0
POI-ID-da814892,122,122,82,24,16,70,70,0,0
POI-ID-63325658,132,132,89,29,14,59,59,0,0
POI-ID-a5d51fe7,114,114,78,24,12,67,67,0,0
POI-ID-0f823b00,81,81,68,10,3,67,67,0,0
POI-ID-c8d84593,20,20,14,4,2,13,13,0,0
POI-ID-020f587e,69,69,59,8,2,59,59,0,0
POI-ID-31733887,24,24,17,5,2,15,15,0,0
POI-ID-2bcb7581,38,38,30,5,3,25,25,0,0
POI-ID-25c97e42,16,16,10,3,3,5,5,0,0
POI-ID-e41152f1,17,17,9,4,4,4,4,0,0
POI-ID-2e505510,19,19,12,5,2,5,5,0,0
POI-ID-0105f08d,3,3,1,1,1,1,1,0,0
POI-ID-563b73be,9,9,5,2,2,2,2,0,0
POI-ID-7791d02f,154,154,113,27,14,99,99,0,0
POI-ID-6d94e457,11,11,11,0,0,11,11,0,0
POI-ID-d9dca77f,82,82,74,7,1,72,72,0,0
POI-ID-3349ccb7,8,8,7,1,0,7,7,0,0
POI-ID-f991208b,3,3,1,1,1,1,1,0,0
POI-ID-12d1cc9d,4,4,2,1,1,1,1,0,0
POI-ID-31d3bc2e,333,333,260,58,15,247,247,0,0
POI-ID-24b4fa5c,5,5,3,1,1,3,3,0,0
POI-ID-c4519df5,1,1,1,0,0,1,1,0,0
POI-ID-1c8055e0,7,7,7,0,0,7,7,0,0
POI-ID-9289ab59,21,21,18,3,0,18,18,0,0
POI-ID-086e86ac,8,8,4,2,2,2,2,0,0
POI-ID-eaf9abad,1,1,1,0,0,1,1,0,0
POI-ID-74cb2c54,97,97,83,10,4,84,84,0,0
POI-ID-95d5b4e0,3,3,1,1,1,1,1,0,0
POI-ID-20d16695,65,65,56,6,3,54,54,0,0
POI-ID-8fea1e81,31,31,18,8,5,3,3,0,0
POI-ID-2e90d343,3,3,3,0,0,3,3,0,0
POI-ID-992db14d,1,1,1,0,0,1,1,0,0
POI-ID-f164550b,36,36,31,4,1,30,30,0,0
POI-ID-946f15ed,2,2,2,0,0,2,2,0,0
POI-ID-d6b94045,10,10,9,0,1,9,9,0,0
POI-ID-58fec5b4,4,4,4,0,0,4,4,0,0
POI-ID-05e0a6f2,4,4,4,0,0,4,4,0,0
POI-ID-b3f07a21,12,12,8,2,2,5,5,0,0
POI-ID-86a64c59,1,1,1,0,0,1,1,0,0
POI-ID-6f42700b,2,2,2,0,0,2,2,0,0
POI-ID-6a781b64,6,6,4,1,1,2,2,0,0
POI-ID-1d4334be,5,5,5,0,0,5,5,0,0
POI-ID-b1c18c73,4,4,3,1,0,3,3,0,0
POI-ID-05dff183,9,9,7,2,0,7,7,0,0
POI-ID-85730cf5,14,14,10,2,2,11,11,0,0
POI-ID-01f5ec2f,12,12,11,1,0,11,11,0,0
POI-ID-bd194628,16,16,9,4,3,5,5,0,0
POI-ID-430105e5,26,26,19,4,3,17,17,0,0
POI-ID-3f2d0888,208,206,164,30,12,160,158,-2,-2
POI-ID-1734eeac,6,6,6,0,0,6,6,0,0
POI-ID-d5ff015c,3,3,3,0,0,3,3,0,0
POI-ID-53641e80,4,4,4,0,0,4,4,0,0
POI-ID-9eee219a,8,8,7,1,0,7,7,0,0
POI-ID-42a2f895,4,4,4,0,0,4,4,0,0
POI-ID-59ccf582,3,3,3,0,0,3,3,0,0
POI-ID-bcfa2114,1,1,1,0,0,1,1,0,0
POI-ID-c17a007a,3,3,1,1,1,1,1,0,0
POI-ID-4052030d,5,5,4,1,0,4,4,0,0
POI-ID-39a2d29c,14,14,14,0,0,14,14,0,0
POI-ID-1ba9f913,61,61,47,10,4,41,41,0,0
POI-ID-45c3a8b8,2,2,2,0,0,2,2,0,0
POI-ID-94251bc9,5,5,5,0,0,5,5,0,0
POI-ID-c863a020,38,38,33,4,1,32,32,0,0
POI-ID-b00aa84e,13,13,13,0,0,13,13,0,0
POI-ID-8a32828b,139,139,93,30,16,77,77,0,0
POI-ID-2ebec64b,26,26,24,2,0,24,24,0,0
POI-ID-4aacb8fe,67,67,47,14,6,33,33,0,0
POI-ID-2fcba76c,1,1,1,0,0,1,1,0,0
POI-ID-2f01f65c,21,21,18,2,1,19,19,0,0
POI-ID-914e1a6c,43,43,27,9,7,21,21,0,0
POI-ID-543bbd42,17,17,10,6,1,11,11,0,0
POI-ID-f482a5e6,9,9,7,1,1,8,8,0,0
POI-ID-c554f668,2,2,1,1,0,1,1,0,0
POI-ID-b082ed0e,43,43,30,9,4,15,15,0,0
POI-ID-17cf0b82,7,7,7,0,0,7,7,0,0
POI-ID-b87a37dd,30,30,24,4,2,16,16,0,0
POI-ID-9e49068e,7,7,7,0,0,7,7,0,0
POI-ID-9456e0cd,25,25,17,4,4,12,12,0,0
POI-ID-842f260b,42,42,32,9,1,27,27,0,0
POI-ID-7be2e646,3,3,2,1,0,2,2,0,0
POI-ID-f972aaff,101,101,76,15,10,66,66,0,0
POI-ID-f47ac3a8,26,26,24,2,0,24,24,0,0
POI-ID-3cd53e6a,77,77,63,9,5,59,59,0,0
POI-ID-2ef8310e,10,10,9,1,0,9,9,0,0
POI-ID-62bf20f4,10,10,6,3,1,1,1,0,0
POI-ID-7978800a,22,22,14,4,4,9,9,0,0
POI-ID-b6c7f0ad,4,4,2,2,0,2,2,0,0
POI-ID-dcd0f046,11,11,7,2,2,4,4,0,0
POI-ID-086b2840,35,35,32,2,1,32,32,0,0
POI-ID-fdae2919,254,254,194,43,17,184,184,0,0
POI-ID-ff253675,27,27,22,2,3,19,19,0,0
POI-ID-336a567c,27,27,20,4,3,12,12,0,0
POI-ID-b4e14190,6,6,3,2,1,3,3,0,0
POI-ID-a518317a,4,4,4,0,0,4,4,0,0
POI-ID-c113d284,3,3,2,1,0,2,2,0,0
POI-ID-78a1340c,12,12,6,3,3,2,2,0,0
POI-ID-6ed87f8d,38,38,27,7,4,27,27,0,0
POI-ID-e69c0e30,5,5,5,0,0,5,5,0,0
POI-ID-16fe0da8,4,4,3,1,0,3,3,0,0
POI-ID-1274bb5b,8,8,5,2,1,2,2,0,0
POI-ID-5d187030,5,5,3,1,1,3,3,0,0
POI-ID-e0307e2a,48,48,37,8,3,36,36,0,0
POI-ID-80718450,23,23,19,2,2,16,16,0,0
POI-ID-b2016254,11,11,7,3,1,7,7,0,0
POI-ID-1c9a672f,6,6,6,0,0,6,6,0,0
POI-ID-587ff5de,5,5,2,2,1,2,2,0,0
POI-ID-b3cc67be,4,4,2,2,0,2,2,0,0
POI-ID-1f8d90a2,53,53,42,9,2,41,41,0,0
POI-ID-2487a924,14,14,10,3,1,10,10,0,0
POI-ID-d62157d7,30,30,17,9,4,4,4,0,0
POI-ID-93a72045,48,48,38,7,3,39,39,0,0
POI-ID-ad405e1d,26,26,23,2,1,25,25,0,0
POI-ID-d20fc720,6,6,6,0,0,6,6,0,0
POI-ID-0f09b40b,5,5,3,1,1,3,3,0,0
POI-ID-686a796c,7,7,6,1,0,6,6,0,0
POI-ID-2c519cde,23,23,21,1,1,20,20,0,0
POI-ID-c51cede1,1,1,1,0,0,1,1,0,0
POI-ID-8e5ebc01,16,16,15,1,0,15,15,0,0
POI-ID-6fe2f2bc,3,3,3,0,0,3,3,0,0
POI-ID-116550c0,3,3,2,1,0,2,2,0,0
POI-ID-2509cb65,1,1,1,0,0,1,1,0,0
POI-ID-cef68e19,17,17,13,2,2,11,11,0,0
POI-ID-526f27c5,29,29,27,1,1,28,28,0,0
POI-ID-e285e713,5,5,5,0,0,5,5,0,0
POI-ID-4f3ca6df,50,50,33,10,7,22,22,0,0
POI-ID-7d805fe7,60,60,41,13,6,33,33,0,0
POI-ID-dd69c453,35,35,31,3,1,31,31,0,0
POI-ID-cff07c37,126,126,94,21,11,86,86,0,0
POI-ID-f153592c,1,1,1,0,0,1,1,0,0
POI-ID-d2658b8e,7,7,7,0,0,7,7,0,0
POI-ID-6fbc97a1,14,14,14,0,0,14,14,0,0
POI-ID-01a743e9,122,122,90,20,12,76,76,0,0
POI-ID-7154117f,200,200,134,38,28,92,92,0,0
POI-ID-ae97b6f0,54,54,34,11,9,20,20,0,0
POI-ID-dae52055,8,8,4,2,2,1,1,0,0
POI-ID-e59cc22f,6,6,4,1,1,3,3,0,0
POI-ID-101c2359,2,2,2,0,0,2,2,0,0
POI-ID-e0a30a58,182,182,154,22,6,156,156,0,0
POI-ID-e29bc397,80,80,67,10,3,69,69,0,0
POI-ID-cfb8e089,42,42,38,3,1,38,38,0,0
POI-ID-6f00655e,87,87,70,11,6,67,67,0,0
POI-ID-213b3986,32,32,29,2,1,28,28,0,0
POI-ID-40b6aea0,177,177,126,30,21,106,106,0,0
POI-ID-7cdfe62a,7,7,4,2,1,1,1,0,0
POI-ID-a76fb0d7,251,251,188,43,20,176,176,0,0
POI-ID-c949f908,42,42,26,9,7,15,15,0,0
POI-ID-328253dd,36,36,31,5,0,31,31,0,0
POI-ID-9a6acdc0,31,31,25,4,2,25,25,0,0
POI-ID-297202ef,72,72,41,14,17,25,25,0,0
POI-ID-c0555384,24,24,17,5,2,15,15,0,0
POI-ID-d898de20,37,37,34,3,0,34,34,0,0
POI-ID-34d33461,8,8,7,1,0,7,7,0,0
POI-ID-1d4080fd,1,1,1,0,0,1,1,0,0
POI-ID-05e999f5,15,15,13,1,1,13,13,0,0
POI-ID-cbdb6868,1,1,1,0,0,1,1,0,0
POI-ID-7172dd0c,13,13,11,1,1,9,9,0,0
POI-ID-e840d702,10,10,10,0,0,10,10,0,0
POI-ID-052ae759,41,41,31,7,3,28,28,0,0
POI-ID-83b5172c,61,61,36,17,8,32,32,0,0
POI-ID-74487e8d,15,15,13,1,1,13,13,0,0
POI-ID-029e5ff6,168,168,118,33,17,100,100,0,0
POI-ID-cc732ff6,3,3,3,0,0,3,3,0,0
POI-ID-09b4d6d4,6,6,5,1,0,5,5,0,0
POI-ID-93a76432,9,9,7,1,1,8,8,0,0
POI-ID-a82bd291,59,59,44,10,5,43,43,0,0
POI-ID-b66b4d7a,14,14,10,3,1,7,7,0,0
POI-ID-988a324d,11,11,9,1,1,9,9,0,0
POI-ID-7096fb65,1,1,1,0,0,1,1,0,0
POI-ID-d61e2b26,6,6,6,0,0,6,6,0,0
POI-ID-ad801502,63,63,44,12,7,31,31,0,0
POI-ID-ffa491a4,9,9,9,0,0,9,9,0,0
POI-ID-d71ad8ed,408,408,248,105,55,136,136,0,0
POI-ID-ea60e61b,11,11,10,1,0,10,10,0,0
POI-ID-8513777e,29,29,24,4,1,21,21,0,0
POI-ID-3b92c5c4,44,44,32,9,3,22,22,0,0
POI-ID-b41f611b,5,5,5,0,0,5,5,0,0
POI-ID-a3fd768f,1,1,1,0,0,1,1,0,0
POI-ID-89e86ebd,17,17,13,4,0,13,13,0,0
POI-ID-85fdf27e,45,45,42,3,0,42,42,0,0
POI-ID-4f8432ad,1,1,1,0,0,1,1,0,0
POI-ID-0d95923c,4,4,4,0,0,4,4,0,0
POI-ID-36a570ae,4,4,4,0,0,4,4,0,0
POI-ID-db628d01,51,51,47,3,1,45,45,0,0
POI-ID-fb121012,10,10,8,1,1,9,9,0,0
POI-ID-25d30ab2,37,37,32,3,2,31,31,0,0
POI-ID-e09f1d63,23,23,21,1,1,22,22,0,0
POI-ID-7a404661,9,9,8,1,0,8,8,0,0
POI-ID-cbcbe046,4,4,2,2,0,2,2,0,0
POI-ID-8bdab469,13,13,11,1,1,11,11,0,0
POI-ID-b9f49e90,5,5,5,0,0,5,5,0,0
POI-ID-4e07de78,12,12,9,2,1,9,9,0,0
POI-ID-1d5c8529,12,12,11,1,0,11,11,0,0
POI-ID-aecd984b,8,8,8,0,0,8,8,0,0
POI-ID-44b2fc5f,5,5,4,1,0,4,4,0,0
POI-ID-52d2c6d6,1,1,1,0,0,1,1,0,0
POI-ID-33b3df77,57,57,45,9,3,40,40,0,0
POI-ID-6274d937,4,4,4,0,0,4,4,0,0
POI-ID-0cb86fc1,6,6,5,1,0,5,5,0,0
POI-ID-d31bd8c4,5,5,4,1,0,4,4,0,0
POI-ID-8fe7c438,20,20,13,4,3,8,8,0,0
POI-ID-647fcb83,9,9,8,1,0,8,8,0,0
POI-ID-f2befd34,3,3,3,0,0,3,3,0,0
POI-ID-6d3f6eb4,126,126,89,22,15,75,75,0,0
POI-ID-d3c58610,3,3,3,0,0,3,3,0,0
POI-ID-fc177127,10,10,7,2,1,7,7,0,0
POI-ID-19b7f4bd,1,1,1,0,0,1,1,0,0
POI-ID-ff49bfd6,1,1,1,0,0,1,1,0,0
POI-ID-4dfbbea8,123,123,106,14,3,105,105,0,0
POI-ID-9942cb87,52,52,36,9,7,26,26,0,0
POI-ID-abf5fb49,1,1,1,0,0,1,1,0,0
POI-ID-323f861f,5,5,4,1,0,4,4,0,0
POI-ID-e91993db,3,3,3,0,0,3,3,0,0
POI-ID-a4f9e37d,6,6,5,1,0,5,5,0,0
POI-ID-a20f296b,12,12,12,0,0,12,12,0,0
POI-ID-1e212e79,47,47,38,8,1,36,36,0,0
POI-ID-be19f4f9,11,11,9,1,1,8,8,0,0
POI-ID-0eed26ad,55,55,48,7,0,48,48,0,0
POI-ID-ef2d9787,9,9,8,1,0,8,8,0,0
POI-ID-ad01865b,20,20,12,6,2,1,1,0,0
POI-ID-0fb87625,1,1,1,0,0,1,1,0,0
POI-ID-7210b892,26,26,25,1,0,25,25,0,0
POI-ID-547dbffb,7,7,4,2,1,1,1,0,0
POI-ID-1e895d51,159,159,103,38,18,77,77,0,0
POI-ID-de0caefc,94,93,66,19,8,59,58,-1,-1
POI-ID-af876a63,50,50,36,10,4,34,34,0,0
POI-ID-448ae884,1,1,1,0,0,1,1,0,0
POI-ID-f953fc34,60,60,39,13,8,24,24,0,0
POI-ID-10fab0c4,15,15,11,2,2,9,9,0,0
POI-ID-befee26a,56,56,46,9,1,46,46,0,0
POI-ID-8c0086a2,55,55,36,11,8,31,31,0,0
POI-ID-1704cf73,10,10,10,0,0,10,10,0,0
POI-ID-12882af0,74,74,62,10,2,65,65,0,0
POI-ID-397217dc,2,2,2,0,0,2,2,0,0
POI-ID-20672bcd,5,5,5,0,0,5,5,0,0
POI-ID-e0205e84,49,48,33,9,6,34,33,-1,-1
POI-ID-d80c5d0f,27,27,20,6,1,19,19,0,0
POI-ID-2477f018,1,1,1,0,0,1,1,0,0
POI-ID-057ad588,71,71,45,16,10,30,30,0,0
POI-ID-4339267e,10,10,8,1,1,8,8,0,0
POI-ID-60c35fd3,1,1,1,0,0,1,1,0,0
POI-ID-01cb2485,2,2,1,1,0,1,1,0,0
POI-ID-c78d0717,19,19,17,2,0,17,17,0,0
POI-ID-5098256c,57,57,45,9,3,45,45,0,0
POI-ID-11496e23,2,2,2,0,0,2,2,0,0
POI-ID-93fc1960,54,54,39,10,5,36,36,0,0
POI-ID-cff59ed6,29,29,20,8,1,20,20,0,0
POI-ID-bf56bcad,21,20,12,5,3,9,8,-1,-1
POI-ID-8c01d69e,70,70,45,14,11,37,37,0,0
POI-ID-11c4bd97,10,10,9,1,0,9,9,0,0
POI-ID-fa3957bf,27,27,18,5,4,12,12,0,0
POI-ID-4fc4fed3,16,16,14,2,0,14,14,0,0
POI-ID-9d6e0a5f,20,20,19,1,0,19,19,0,0
POI-ID-c82499ce,46,46,35,7,4,34,34,0,0
POI-ID-666ce02b,9,9,5,2,2,2,2,0,0
POI-ID-63ebf1fd,11,11,10,1,0,10,10,0,0
