user_id,input_checkins,output_interactions,output_views,output_transactions,output_reviews,input_unique_pois,output_unique_pois,interaction_diff,poi_diff
11063,136,136,106,21,9,88,88,0,0
161755,20,20,15,3,2,14,14,0,0
112117,34,34,31,2,1,31,31,0,0
41964,43,43,37,4,2,36,36,0,0
16510,80,80,53,18,9,34,34,0,0
174351,33,33,29,3,1,29,29,0,0
255497,36,36,32,3,1,32,32,0,0
178865,50,50,45,4,1,45,45,0,0
4978,131,131,85,33,13,48,48,0,0
196036,58,58,53,4,1,53,53,0,0
46405,29,29,25,3,1,24,24,0,0
48815,91,91,64,19,8,59,59,0,0
77805,83,83,72,9,2,72,72,0,0
7973,68,68,50,11,7,44,44,0,0
53042,69,69,60,8,1,58,58,0,0
150435,47,47,39,5,3,37,37,0,0
71476,72,72,51,14,7,27,27,0,0
4047,135,135,88,27,20,58,58,0,0
77081,55,55,43,9,3,36,36,0,0
218177,41,41,32,7,2,27,27,0,0
109825,85,85,67,13,5,59,59,0,0
7179,110,110,88,16,6,84,84,0,0
86536,43,43,37,5,1,37,37,0,0
224441,29,29,26,2,1,28,28,0,0
72795,53,53,45,6,2,45,45,0,0
117078,25,25,19,3,3,16,16,0,0
19030,29,29,25,3,1,24,24,0,0
91049,41,41,36,4,1,36,36,0,0
117088,89,89,66,18,5,59,59,0,0
185934,36,36,30,4,2,30,30,0,0
34662,38,38,32,4,2,31,31,0,0
145144,64,64,45,14,5,21,21,0,0
36819,131,131,90,29,12,48,48,0,0
15439,55,55,41,9,5,40,40,0,0
138623,23,23,17,5,1,12,12,0,0
206604,38,38,29,6,3,28,28,0,0
125208,69,69,48,14,7,28,28,0,0
157878,43,43,33,7,3,28,28,0,0
240909,53,53,36,10,7,26,26,0,0
99693,26,26,21,4,1,20,20,0,0
84885,57,57,40,10,7,36,36,0,0
44304,68,68,52,11,5,47,47,0,0
99784,41,41,32,7,2,32,32,0,0
190754,23,23,18,4,1,18,18,0,0
41936,89,89,62,16,11,42,42,0,0
40055,47,47,34,9,4,28,28,0,0
121067,55,55,46,6,3,45,45,0,0
87480,26,26,24,1,1,24,24,0,0
102900,55,55,41,8,6,38,38,0,0
24939,187,187,135,34,18,96,96,0,0
198649,23,23,15,4,4,9,9,0,0
92890,45,45,35,8,2,35,35,0,0
85692,21,21,18,2,1,20,20,0,0
95750,44,44,33,8,3,31,31,0,0
263258,47,47,43,3,1,43,43,0,0
50042,70,70,51,12,7,45,45,0,0
68331,79,79,57,17,5,48,48,0,0
172138,22,22,20,1,1,22,22,0,0
255389,21,21,19,1,1,19,19,0,0
167825,7,7,4,2,1,6,6,0,0
50828,47,47,38,8,1,35,35,0,0
45019,70,70,57,12,1,56,56,0,0
13322,81,81,65,12,4,58,58,0,0
190717,65,65,51,10,4,37,37,0,0
33690,127,127,93,22,12,77,77,0,0
77808,29,29,23,4,2,22,22,0,0
12443,114,114,80,21,13,57,57,0,0
121082,44,44,37,5,2,37,37,0,0
26826,116,116,93,14,9,86,86,0,0
4678,150,150,105,30,15,73,73,0,0
412,226,226,138,55,33,63,63,0,0
123725,7,7,5,1,1,7,7,0,0
95766,59,59,43,12,4,38,38,0,0
91002,14,14,12,1,1,14,14,0,0
65914,26,26,20,4,2,20,20,0,0
37027,32,32,26,5,1,26,26,0,0
51280,45,45,31,10,4,26,26,0,0
22080,195,195,133,42,20,91,91,0,0
72021,40,40,28,8,4,16,16,0,0
84064,49,49,33,10,6,28,28,0,0
19503,101,101,67,22,12,48,48,0,0
126532,46,46,27,11,8,8,8,0,0
67113,49,49,36,9,4,28,28,0,0
95782,23,23,21,1,1,21,21,0,0
37970,86,86,57,20,9,43,43,0,0
209590,43,43,31,10,2,30,30,0,0
2768,123,123,84,23,16,59,59,0,0
77124,121,121,80,28,13,67,67,0,0
51697,46,46,36,7,3,34,34,0,0
83156,41,41,36,4,1,35,35,0,0
122331,41,41,36,4,1,36,36,0,0
3797,111,111,72,25,14,47,47,0,0
172258,24,24,21,2,1,21,21,0,0
11915,80,80,60,12,8,49,49,0,0
145185,45,45,39,5,1,39,39,0,0
31086,94,94,64,21,9,56,56,0,0
29651,114,114,78,24,12,66,66,0,0
46019,94,94,73,13,8,62,62,0,0
16222,28,28,17,6,5,10,10,0,0
104049,39,39,29,6,4,24,24,0,0
125255,51,51,39,7,5,33,33,0,0
132372,47,47,41,5,1,38,38,0,0
237604,29,29,18,7,4,15,15,0,0
255602,32,32,27,4,1,27,27,0,0
237442,20,20,17,2,1,17,17,0,0
263321,34,34,26,5,3,23,23,0,0
83280,43,43,35,6,2,35,35,0,0
55363,96,96,73,14,9,65,65,0,0
145197,62,62,47,9,6,40,40,0,0
4095,14,14,12,1,1,12,12,0,0
56334,54,54,45,7,2,45,45,0,0
89325,52,52,36,9,7,26,26,0,0
14388,89,89,70,14,5,70,70,0,0
38520,138,138,100,27,11,61,61,0,0
1054,138,138,107,20,11,84,84,0,0
221402,61,61,47,10,4,42,42,0,0
19261,25,25,19,4,2,18,18,0,0
99819,70,70,62,7,1,61,61,0,0
234251,31,31,28,2,1,28,28,0,0
3785,273,273,165,73,35,58,58,0,0
100781,42,42,39,2,1,39,39,0,0
138603,63,63,60,2,1,62,62,0,0
84093,117,117,97,13,7,92,92,0,0
23222,153,153,107,32,14,96,96,0,0
121116,84,84,57,19,8,27,27,0,0
20633,129,129,95,23,11,85,85,0,0
96788,34,34,31,2,1,31,31,0,0
10194,143,143,105,28,10,97,97,0,0
64208,36,36,27,8,1,27,27,0,0
185935,69,69,58,10,1,58,58,0,0
10071,150,150,99,33,18,73,73,0,0
201311,21,21,18,2,1,20,20,0,0
156078,29,29,27,1,1,27,27,0,0
26489,31,31,23,6,2,22,22,0,0
54926,82,82,73,7,2,71,71,0,0
141931,17,17,12,4,1,11,11,0,0
150427,61,61,55,5,1,55,55,0,0
248,475,475,331,92,52,264,264,0,0
20504,155,155,120,24,11,112,112,0,0
255636,16,16,14,1,1,16,16,0,0
221362,34,34,24,6,4,21,21,0,0
54415,23,23,21,1,1,21,21,0,0
106370,91,91,81,8,2,81,81,0,0
74283,69,69,58,7,4,50,50,0,0
170161,66,66,51,12,3,49,49,0,0
145229,42,42,34,7,1,34,34,0,0
82433,56,56,46,8,2,46,46,0,0
150528,66,66,57,8,1,57,57,0,0
59403,108,108,81,19,8,72,72,0,0
170166,37,37,31,4,2,30,30,0,0
4860,148,148,105,31,12,64,64,0,0
218355,9,9,7,1,1,9,9,0,0
15783,113,113,100,12,1,100,100,0,0
4400,159,159,119,27,13,103,103,0,0
88356,54,54,40,10,4,27,27,0,0
42943,106,106,101,4,1,101,101,0,0
21942,75,75,53,14,8,46,46,0,0
215458,22,22,18,3,1,15,15,0,0
115804,18,18,16,1,1,16,16,0,0
80836,61,61,48,9,4,46,46,0,0
78498,58,58,44,9,5,35,35,0,0
21292,27,27,21,3,3,21,21,0,0
100835,80,80,63,14,3,62,62,0,0
128076,45,45,38,5,2,36,36,0,0
105124,34,34,27,6,1,27,27,0,0
56351,125,125,101,17,7,92,92,0,0
141950,28,28,24,3,1,24,24,0,0
2746,152,152,107,29,16,103,103,0,0
32251,28,28,24,3,1,24,24,0,0
212239,11,11,9,1,1,8,8,0,0
55371,110,110,87,18,5,80,80,0,0
8173,136,136,105,22,9,95,95,0,0
237691,37,37,29,6,2,27,27,0,0
157991,85,85,59,19,7,31,31,0,0
154286,37,37,29,7,1,29,29,0,0
52987,25,25,22,2,1,22,22,0,0
78426,81,81,59,15,7,40,40,0,0
2126,253,253,197,42,14,163,163,0,0
73,1166,1166,781,254,131,503,503,0,0
39404,30,30,26,3,1,23,23,0,0
231043,23,23,19,3,1,18,18,0,0
251944,34,34,26,3,5,21,21,0,0
16,519,519,323,132,64,115,115,0,0
146995,53,53,48,4,1,46,46,0,0
241154,6,6,4,1,1,6,6,0,0
10672,32,32,26,5,1,26,26,0,0
11431,141,141,91,30,20,58,58,0,0
174532,36,36,34,1,1,34,34,0,0
27201,81,81,67,13,1,67,67,0,0
174534,31,31,24,3,4,20,20,0,0
113460,81,81,66,10,5,63,63,0,0
263427,31,31,29,1,1,29,29,0,0
227689,25,25,22,2,1,24,24,0,0
31561,120,120,86,24,10,74,74,0,0
30892,196,196,122,49,25,44,44,0,0
93919,78,78,61,12,5,58,58,0,0
13554,131,131,91,26,14,73,73,0,0
98846,89,89,71,13,5,65,65,0,0
22906,95,95,86,7,2,83,83,0,0
241179,35,35,27,5,3,22,22,0,0
26471,96,96,64,20,12,49,49,0,0
224644,63,63,44,15,4,31,31,0,0
94860,109,109,71,22,16,53,53,0,0
67789,121,121,79,28,14,39,39,0,0
51236,79,79,62,13,4,58,58,0,0
109775,30,30,22,6,2,15,15,0,0
41640,121,121,93,21,7,83,83,0,0
34376,48,48,30,11,7,23,23,0,0
234374,35,35,26,6,3,20,20,0,0
150541,54,54,47,6,1,47,47,0,0
147028,41,41,35,4,2,35,35,0,0
70870,77,77,53,18,6,44,44,0,0
59831,51,51,39,7,5,33,33,0,0
8796,115,115,99,12,4,94,94,0,0
78501,70,70,55,10,5,48,48,0,0
176806,46,46,34,8,4,29,29,0,0
44312,57,57,38,12,7,26,26,0,0
126,254,254,163,63,28,92,92,0,0
118349,39,39,26,9,4,26,26,0,0
38192,30,30,21,6,3,15,15,0,0
9446,196,196,130,46,20,60,60,0,0
36060,80,80,59,13,8,50,50,0,0
47967,94,94,76,12,6,70,70,0,0
25462,86,86,65,17,4,62,62,0,0
5607,13,13,11,1,1,9,9,0,0
8273,119,119,103,12,4,99,99,0,0
121213,82,82,67,10,5,60,60,0,0
23679,101,101,70,20,11,60,60,0,0
204298,30,30,23,4,3,21,21,0,0
126525,31,31,24,5,2,24,24,0,0
2317,141,141,102,27,12,92,92,0,0
172431,69,69,55,12,2,54,54,0,0
143,547,547,368,122,57,225,225,0,0
78571,82,82,70,9,3,69,69,0,0
34492,60,60,54,5,1,54,54,0,0
12764,74,74,54,14,6,45,45,0,0
128194,24,24,19,4,1,19,19,0,0
204095,37,37,32,4,1,32,32,0,0
67085,22,22,19,2,1,19,19,0,0
130907,29,29,23,4,2,23,23,0,0
29031,106,106,83,15,8,77,77,0,0
137248,61,61,43,12,6,29,29,0,0
63554,128,128,108,17,3,107,107,0,0
91183,82,82,56,17,9,45,45,0,0
40340,19,19,15,2,2,14,14,0,0
89399,72,72,57,12,3,52,52,0,0
63113,85,85,57,19,9,43,43,0,0
11922,115,115,85,21,9,80,80,0,0
81706,62,62,54,7,1,51,51,0,0
196302,34,34,31,2,1,31,31,0,0
212275,11,11,8,2,1,7,7,0,0
36271,60,60,53,6,1,53,53,0,0
58923,53,53,36,12,5,14,14,0,0
174642,35,35,30,4,1,30,30,0,0
154135,28,28,24,3,1,19,19,0,0
150491,18,18,15,1,2,13,13,0,0
201230,23,23,17,4,2,16,16,0,0
27760,25,25,17,5,3,16,16,0,0
140390,67,67,58,6,3,57,57,0,0
163814,59,59,53,5,1,53,53,0,0
94912,45,45,29,12,4,28,28,0,0
107530,50,50,43,5,2,42,42,0,0
27989,58,58,38,13,7,27,27,0,0
29055,172,172,119,33,20,76,76,0,0
164055,31,31,28,2,1,28,28,0,0
123770,11,11,8,2,1,10,10,0,0
150404,15,15,13,1,1,15,15,0,0
64258,89,89,68,14,7,60,60,0,0
19031,62,62,41,14,7,17,17,0,0
74343,38,38,27,7,4,23,23,0,0
188471,49,49,39,6,4,37,37,0,0
154420,74,74,61,10,3,60,60,0,0
112206,49,49,46,2,1,46,46,0,0
2820,15,15,13,1,1,15,15,0,0
227953,38,38,36,1,1,36,36,0,0
186243,21,21,19,1,1,19,19,0,0
193368,60,60,51,8,1,51,51,0,0
27362,51,51,40,6,5,40,40,0,0
34497,173,173,113,34,26,76,76,0,0
37378,178,178,121,37,20,86,86,0,0
157990,22,22,18,3,1,17,17,0,0
96714,29,29,20,7,2,19,19,0,0
47295,55,55,36,14,5,30,30,0,0
76342,15,15,9,4,2,9,9,0,0
23992,67,67,60,6,1,59,59,0,0
132329,57,57,41,9,7,31,31,0,0
123988,35,35,29,4,2,27,27,0,0
224175,39,39,25,9,5,10,10,0,0
75820,85,85,60,18,7,55,55,0,0
114754,55,55,43,10,2,39,39,0,0
212484,28,28,25,2,1,24,24,0,0
168228,43,43,34,5,4,31,31,0,0
15098,105,105,79,16,10,64,64,0,0
176906,60,60,48,8,4,48,48,0,0
4441,78,78,50,16,12,36,36,0,0
310,179,179,125,39,15,101,101,0,0
888,34,34,24,6,4,17,17,0,0
34229,74,74,52,14,8,40,40,0,0
23686,140,140,113,19,8,104,104,0,0
51288,50,50,38,9,3,23,23,0,0
75741,26,26,18,5,3,12,12,0,0
48070,43,43,31,7,5,20,20,0,0
18246,71,71,61,6,4,60,60,0,0
85783,64,64,49,10,5,43,43,0,0
2062,40,40,31,6,3,30,30,0,0
174465,42,42,32,7,3,31,31,0,0
128235,45,45,36,7,2,34,34,0,0
183893,37,37,35,1,1,35,35,0,0
72908,65,65,58,5,2,56,56,0,0
193721,39,39,34,4,1,33,33,0,0
10957,27,27,25,1,1,25,25,0,0
76266,59,59,44,10,5,29,29,0,0
140431,26,26,20,5,1,20,20,0,0
28443,93,93,65,20,8,51,51,0,0
67708,79,79,69,9,1,69,69,0,0
227585,13,13,11,1,1,11,11,0,0
162054,30,30,27,2,1,26,26,0,0
56295,60,60,50,7,3,42,42,0,0
166153,48,48,40,5,3,39,39,0,0
23519,163,163,115,32,16,100,100,0,0
198469,6,6,4,1,1,4,4,0,0
108848,113,113,78,24,11,54,54,0,0
125224,28,28,20,6,2,20,20,0,0
984,170,170,123,31,16,107,107,0,0
38263,34,34,28,4,2,28,28,0,0
3955,52,52,42,7,3,42,42,0,0
88495,57,57,44,8,5,39,39,0,0
24118,39,39,29,6,4,26,26,0,0
215706,50,50,42,6,2,42,42,0,0
209891,71,71,58,11,2,55,55,0,0
20385,82,82,74,5,3,73,73,0,0
105198,46,46,44,1,1,44,44,0,0
234093,13,13,10,2,1,12,12,0,0
6845,70,70,59,9,2,58,58,0,0
118605,67,67,55,7,5,51,51,0,0
228036,10,10,8,1,1,8,8,0,0
912,125,125,88,24,13,73,73,0,0
179236,64,64,50,10,4,49,49,0,0
3544,51,51,44,4,3,42,42,0,0
204187,43,43,28,10,5,20,20,0,0
31536,39,39,27,8,4,20,20,0,0
58434,33,33,28,3,2,27,27,0,0
28042,9,9,7,1,1,9,9,0,0
255377,34,34,23,7,4,21,21,0,0
145403,12,12,10,1,1,12,12,0,0
62004,78,78,60,12,6,54,54,0,0
201693,26,26,21,4,1,19,19,0,0
143564,49,49,40,7,2,40,40,0,0
4687,78,78,58,13,7,45,45,0,0
80154,55,55,45,8,2,44,44,0,0
191064,29,29,22,5,2,20,20,0,0
188274,51,51,32,13,6,10,10,0,0
122631,90,90,71,16,3,70,70,0,0
24144,136,136,97,25,14,84,84,0,0
66005,38,38,27,7,4,23,23,0,0
181371,56,56,39,11,6,32,32,0,0
234595,40,40,38,1,1,38,38,0,0
122487,48,48,42,5,1,40,40,0,0
174313,17,17,13,2,2,11,11,0,0
59443,14,14,12,1,1,14,14,0,0
69723,67,67,48,13,6,42,42,0,0
255839,30,30,27,2,1,25,25,0,0
106404,26,26,23,2,1,23,23,0,0
159969,44,44,32,9,3,30,30,0,0
255445,35,35,26,6,3,23,23,0,0
3606,61,61,51,7,3,51,51,0,0
159845,40,40,34,5,1,34,34,0,0
209888,24,24,21,2,1,23,23,0,0
44382,68,68,58,6,4,58,58,0,0
31511,46,46,34,8,4,26,26,0,0
165989,89,89,63,16,10,45,45,0,0
126794,46,46,32,10,4,20,20,0,0
24468,33,33,28,4,1,28,28,0,0
259818,39,39,36,2,1,38,38,0,0
53035,88,88,69,14,5,67,67,0,0
89442,50,50,46,3,1,45,45,0,0
3172,64,64,40,17,7,11,11,0,0
55918,61,61,47,10,4,42,42,0,0
132593,54,54,39,12,3,37,37,0,0
86754,22,22,16,4,2,11,11,0,0
10665,55,55,44,9,2,42,42,0,0
53428,145,145,114,23,8,106,106,0,0
188703,42,42,32,8,2,29,29,0,0
24008,92,92,69,17,6,68,68,0,0
44677,133,133,87,32,14,60,60,0,0
77891,25,25,20,4,1,20,20,0,0
85872,11,11,9,1,1,9,9,0,0
91238,77,77,50,16,11,31,31,0,0
70277,87,87,67,12,8,61,61,0,0
238028,42,42,30,9,3,24,24,0,0
104079,29,29,27,1,1,29,29,0,0
164172,44,44,36,5,3,34,34,0,0
89315,52,52,45,5,2,44,44,0,0
47153,90,90,73,12,5,68,68,0,0
160042,24,24,17,4,3,17,17,0,0
52170,84,84,71,10,3,70,70,0,0
132499,51,51,46,4,1,46,46,0,0
2967,49,49,42,5,2,41,41,0,0
22620,50,50,31,11,8,11,11,0,0
13826,43,43,33,6,4,27,27,0,0
45032,88,88,69,14,5,63,63,0,0
18563,48,48,37,7,4,35,35,0,0
5221,66,66,50,10,6,47,47,0,0
221847,38,38,30,5,3,28,28,0,0
263302,5,5,2,2,1,4,4,0,0
31758,35,35,25,6,4,20,20,0,0
7076,53,53,44,6,3,42,42,0,0
76341,33,33,25,6,2,21,21,0,0
24615,45,45,34,8,3,31,31,0,0
156352,46,46,43,2,1,43,43,0,0
2400,277,277,212,44,21,190,190,0,0
5354,133,133,94,24,15,76,76,0,0
124075,27,27,19,5,3,9,9,0,0
52185,29,29,20,6,3,15,15,0,0
234298,24,24,20,2,2,16,16,0,0
4774,39,39,32,5,2,32,32,0,0
152322,22,22,17,4,1,17,17,0,0
248418,28,28,21,5,2,20,20,0,0
146894,44,44,38,4,2,37,37,0,0
98734,26,26,22,3,1,20,20,0,0
115810,45,45,38,6,1,37,37,0,0
169979,17,17,13,3,1,13,13,0,0
74407,86,86,68,14,4,67,67,0,0
23237,161,161,128,24,9,118,118,0,0
40405,40,40,29,9,2,29,29,0,0
245136,37,37,33,3,1,33,33,0,0
42300,61,61,47,11,3,47,47,0,0
56817,31,31,25,4,2,22,22,0,0
135827,61,61,52,7,2,48,48,0,0
35446,30,30,23,5,2,20,20,0,0
87514,32,32,28,3,1,27,27,0,0
179347,78,78,66,9,3,66,66,0,0
41323,28,28,21,4,3,18,18,0,0
130797,14,14,11,2,1,13,13,0,0
36087,21,21,19,1,1,19,19,0,0
11546,107,107,86,17,4,82,82,0,0
248072,21,21,18,2,1,20,20,0,0
85698,73,73,58,13,2,57,57,0,0
20528,63,63,44,11,8,35,35,0,0
49984,55,55,37,12,6,36,36,0,0
65359,17,17,12,3,2,11,11,0,0
14922,47,47,30,10,7,20,20,0,0
251770,21,21,19,1,1,21,21,0,0
125515,55,55,45,7,3,42,42,0,0
116092,36,36,28,6,2,27,27,0,0
41416,45,45,37,5,3,32,32,0,0
11135,162,162,123,29,10,109,109,0,0
63022,47,47,43,3,1,42,42,0,0
125516,32,32,30,1,1,30,30,0,0
85007,57,57,41,11,5,35,35,0,0
2252,112,112,75,26,11,41,41,0,0
158281,7,7,4,2,1,6,6,0,0
155914,15,15,12,2,1,14,14,0,0
12390,33,33,31,1,1,31,31,0,0
78704,73,73,51,14,8,44,44,0,0
16524,133,133,100,23,10,96,96,0,0
86707,80,80,59,15,6,56,56,0,0
193901,31,31,24,5,2,23,23,0,0
46881,8,8,6,1,1,8,8,0,0
29890,20,20,14,4,2,14,14,0,0
256183,46,46,40,5,1,40,40,0,0
64150,81,81,64,13,4,55,55,0,0
123717,55,55,39,11,5,32,32,0,0
107741,78,78,70,7,1,70,70,0,0
121211,40,40,30,6,4,29,29,0,0
181559,34,34,27,5,2,27,27,0,0
1495,37,37,31,5,1,28,28,0,0
75686,31,31,27,3,1,26,26,0,0
37305,20,20,14,5,1,14,14,0,0
170494,63,63,47,11,5,42,42,0,0
218768,35,35,32,2,1,32,32,0,0
16045,73,73,48,17,8,42,42,0,0
53601,65,65,56,6,3,55,55,0,0
59931,60,60,51,7,2,48,48,0,0
170058,16,16,13,2,1,15,15,0,0
184060,49,49,45,2,2,45,45,0,0
112098,53,53,39,10,4,37,37,0,0
46106,42,42,33,8,1,32,32,0,0
240807,15,15,12,2,1,14,14,0,0
51677,17,17,14,2,1,14,14,0,0
176562,43,43,35,5,3,31,31,0,0
67045,20,20,17,2,1,17,17,0,0
74946,29,29,23,4,2,20,20,0,0
215871,51,51,45,5,1,45,45,0,0
131069,75,75,63,11,1,62,62,0,0
148763,26,26,21,4,1,21,21,0,0
209842,33,33,28,3,2,24,24,0,0
79974,27,27,20,6,1,19,19,0,0
12517,66,66,47,14,5,43,43,0,0
170401,15,15,13,1,1,13,13,0,0
79241,46,46,31,9,6,26,26,0,0
72738,76,76,59,12,5,57,57,0,0
156033,21,21,17,2,2,15,15,0,0
212442,39,39,31,7,1,31,31,0,0
234158,5,5,3,1,1,5,5,0,0
98971,17,17,12,3,2,11,11,0,0
17488,40,40,27,9,4,24,24,0,0
154566,58,58,52,4,2,48,48,0,0
19370,52,52,31,12,9,12,12,0,0
78593,18,18,15,2,1,14,14,0,0
2770,127,127,80,30,17,42,42,0,0
10585,15,15,12,2,1,14,14,0,0
76462,81,81,49,22,10,13,13,0,0
117331,21,21,15,3,3,12,12,0,0
121338,65,65,49,12,4,41,41,0,0
46509,84,84,60,16,8,56,56,0,0
11061,14,14,11,2,1,13,13,0,0
43932,12,12,9,2,1,9,9,0,0
160232,7,7,5,1,1,7,7,0,0
259232,12,12,10,1,1,10,10,0,0
30288,155,155,129,19,7,125,125,0,0
16135,49,49,43,5,1,43,43,0,0
12304,119,119,95,17,7,91,91,0,0
17745,52,52,37,10,5,26,26,0,0
57367,23,23,20,2,1,20,20,0,0
44010,97,97,77,16,4,74,74,0,0
251727,6,6,4,1,1,6,6,0,0
48933,99,99,70,19,10,52,52,0,0
98887,55,55,41,11,3,33,33,0,0
53918,61,61,47,8,6,40,40,0,0
159859,7,7,5,1,1,7,7,0,0
188354,36,36,33,2,1,33,33,0,0
15681,113,113,86,21,6,79,79,0,0
28416,83,83,52,22,9,12,12,0,0
157944,27,27,24,2,1,26,26,0,0
21990,38,38,28,7,3,14,14,0,0
156235,21,21,15,5,1,15,15,0,0
128238,39,39,27,7,5,20,20,0,0
256220,35,35,32,2,1,32,32,0,0
72947,38,38,31,4,3,29,29,0,0
138849,38,38,30,5,3,30,30,0,0
234049,25,25,23,1,1,23,23,0,0
186055,43,43,36,4,3,34,34,0,0
78564,47,47,41,4,2,39,39,0,0
59347,68,68,61,5,2,60,60,0,0
215831,12,12,9,2,1,9,9,0,0
84069,29,29,21,5,3,19,19,0,0
27976,60,60,52,7,1,52,52,0,0
210119,47,47,35,9,3,33,33,0,0
206766,15,15,12,2,1,14,14,0,0
135418,17,17,15,1,1,17,17,0,0
140551,32,32,28,3,1,28,28,0,0
183486,30,30,23,6,1,23,23,0,0
199195,23,23,20,2,1,19,19,0,0
120026,32,32,27,4,1,27,27,0,0
14847,58,58,50,6,2,50,50,0,0
110087,33,33,30,2,1,29,29,0,0
13173,31,31,24,4,3,24,24,0,0
41692,77,77,64,10,3,61,61,0,0
33397,52,52,43,7,2,42,42,0,0
101905,46,46,40,5,1,40,40,0,0
17272,49,49,40,7,2,40,40,0,0
119916,53,53,44,6,3,34,34,0,0
140557,31,31,25,4,2,22,22,0,0
234135,21,21,17,3,1,17,17,0,0
228249,38,38,24,9,5,20,20,0,0
2736,195,195,136,41,18,94,94,0,0
163839,43,43,37,5,1,37,37,0,0
179388,29,29,25,3,1,24,24,0,0
161739,13,13,11,1,1,11,11,0,0
141969,26,26,18,5,3,16,16,0,0
12934,52,52,46,4,2,46,46,0,0
113421,25,25,19,4,2,17,17,0,0
322,540,540,360,124,56,179,179,0,0
39191,92,92,66,19,7,60,60,0,0
69692,49,49,42,6,1,42,42,0,0
126928,52,52,45,5,2,45,45,0,0
32094,57,57,43,10,4,42,42,0,0
201374,10,10,8,1,1,10,10,0,0
221305,33,33,24,7,2,24,24,0,0
68453,20,20,16,3,1,16,16,0,0
152473,32,32,23,6,3,21,21,0,0
150406,18,18,13,3,2,11,11,0,0
174870,75,75,60,10,5,56,56,0,0
188256,20,20,14,4,2,14,14,0,0
56896,65,65,50,10,5,47,47,0,0
46062,14,14,11,2,1,13,13,0,0
1988,19,19,17,1,1,19,19,0,0
196565,54,54,48,3,3,45,45,0,0
193935,51,51,48,2,1,48,48,0,0
59342,45,45,40,4,1,40,40,0,0
29462,60,60,48,10,2,48,48,0,0
154193,28,28,25,2,1,25,25,0,0
67265,120,120,84,25,11,74,74,0,0
63734,46,46,31,11,4,14,14,0,0
179429,23,23,20,2,1,20,20,0,0
72791,85,85,75,7,3,75,75,0,0
62409,17,17,15,1,1,15,15,0,0
137464,57,57,46,8,3,41,41,0,0
51305,88,88,75,10,3,75,75,0,0
174879,37,37,31,4,2,31,31,0,0
65349,40,40,33,6,1,33,33,0,0
45424,38,38,23,10,5,17,17,0,0
252556,67,67,39,16,12,17,17,0,0
179441,47,47,37,7,3,29,29,0,0
140609,61,61,39,13,9,28,28,0,0
42375,57,57,39,10,8,27,27,0,0
138926,22,22,19,2,1,21,21,0,0
180961,40,40,28,8,4,20,20,0,0
28039,139,139,94,27,18,72,72,0,0
212610,9,9,7,1,1,7,7,0,0
212858,36,36,26,7,3,13,13,0,0
238295,24,24,21,2,1,21,21,0,0
93959,24,24,21,2,1,21,21,0,0
19071,109,109,80,18,11,68,68,0,0
