cluster,accessories store,afghan restaurant,african restaurant,american restaurant,aquarium,arcade,arepa restaurant,argentinian restaurant,art gallery,arts & crafts store,asian restaurant,australian restaurant,automotive shop,bagel shop,bakery,bar,bbq joint,bed & breakfast,beer garden,bike rental / bike share,bike shop,board shop,boutique,bowling alley,brazilian restaurant,breakfast spot,burger joint,burrito place,cajun / creole restaurant,candy store,car dealership,car wash,caribbean restaurant,chinese restaurant,climbing gym,clothing store,cocktail bar,coffee shop,comedy club,convenience store,cosmetics shop,cuban restaurant,cupcake shop,deli / bodega,department store,dessert shop,dim sum restaurant,diner,dive bar,donut shop,dumpling restaurant,eastern european restaurant,electronics store,falafel restaurant,farmers market,fast food restaurant,ferry,filipino restaurant,fish & chips shop,fish market,flea market,flower shop,food,food & drink shop,food court,food truck,french restaurant,fried chicken joint,frozen yogurt,furniture / home store,gaming cafe,gas station / garage,gastropub,general travel,german restaurant,gift shop,gourmet shop,grocery store,gym,gym / fitness center,hookah bar,hot dog joint,ice cream shop,indian restaurant,indie movie theater,indie theater,indonesian restaurant,internet cafe,italian restaurant,japanese restaurant,jazz club,jewelry store,juice bar,karaoke bar,kids store,korean restaurant,latin american restaurant,laundry service,light rail,liquor store,lounge,mac & cheese joint,malaysian restaurant,market,mediterranean restaurant,men's store,mexican restaurant,middle eastern restaurant,miscellaneous shop,mobile phone shop,molecular gastronomy restaurant,moroccan restaurant,motel,motorcycle shop,movie theater,multiplex,music store,nail salon,new american restaurant,nightclub,optical shop,other nightlife,paella restaurant,park,pet store,piano bar,pizza place,plaza,portuguese restaurant,pub,public art,ramen /  noodle house,record shop,rental car location,resort,restaurant,rock club,salad place,salon / barbershop,sandwich place,scandinavian restaurant,seafood restaurant,shoe store,skate park,smoke shop,snack place,soup place,south american restaurant,spa / massage,spanish restaurant,speakeasy,sporting goods shop,sports bar,steakhouse,sushi restaurant,swiss restaurant,taco place,tailor shop,tanning salon,tapas restaurant,tea room,thai restaurant,theater,thrift / vintage store,train,turkish restaurant,vegetarian / vegan restaurant,video game store,video store,vietnamese restaurant,water park,whisky bar,wine bar,wine shop,wings joint,women's store,yoga studio,zoo
10,18.0,0.0,6.0,54.0,11.0,18.0,0.0,1.0,13.0,5.0,160.0,9.0,27.0,1.0,36.0,74.0,14.0,5.0,5.0,0.0,1.0,0.0,54.0,9.0,2.0,23.0,60.0,0.0,1.0,3.0,1.0,0.0,1.0,337.0,0.0,65.0,12.0,325.0,0.0,83.0,28.0,0.0,3.0,2.0,96.0,112.0,44.0,26.0,0.0,1.0,5.0,1.0,24.0,0.0,0.0,302.0,1.0,2.0,2.0,1.0,68.0,1.0,15.0,18.0,545.0,14.0,13.0,71.0,13.0,55.0,20.0,6.0,9.0,3.0,6.0,6.0,4.0,98.0,133.0,15.0,1.0,1.0,56.0,50.0,0.0,2.0,8.0,0.0,48.0,162.0,6.0,12.0,7.0,39.0,2.0,64.0,0.0,2.0,55.0,0.0,12.0,0.0,7.0,14.0,6.0,6.0,5.0,14.0,61.0,4.0,7.0,0.0,0.0,0.0,8.0,200.0,1.0,0.0,3.0,194.0,1.0,28.0,0.0,59.0,6.0,0.0,39.0,38.0,0.0,33.0,1.0,72.0,4.0,2.0,60.0,89.0,3.0,1.0,34.0,27.0,8.0,72.0,25.0,4.0,5.0,21.0,18.0,0.0,11.0,3.0,1.0,5.0,2.0,83.0,53.0,5.0,0.0,0.0,0.0,0.0,109.0,54.0,13.0,1.0,0.0,0.0,19.0,1.0,0.0,6.0,16.0,2.0,24.0,0.0,4.0,11.0,1.0,2.0
11,13.0,0.0,3.0,54.0,4.0,31.0,0.0,0.0,24.0,4.0,89.0,4.0,5.0,2.0,22.0,51.0,10.0,28.0,14.0,0.0,11.0,0.0,55.0,22.0,0.0,21.0,61.0,0.0,0.0,17.0,2.0,0.0,0.0,278.0,0.0,47.0,3.0,313.0,11.0,16.0,34.0,0.0,5.0,1.0,105.0,76.0,68.0,23.0,0.0,0.0,7.0,1.0,26.0,0.0,4.0,237.0,0.0,5.0,0.0,6.0,141.0,3.0,4.0,1.0,389.0,3.0,14.0,162.0,4.0,61.0,21.0,4.0,7.0,4.0,8.0,2.0,1.0,93.0,168.0,25.0,4.0,0.0,67.0,35.0,0.0,1.0,19.0,3.0,37.0,126.0,6.0,2.0,2.0,44.0,0.0,56.0,0.0,6.0,49.0,0.0,5.0,0.0,11.0,22.0,1.0,41.0,6.0,58.0,24.0,29.0,0.0,0.0,0.0,0.0,3.0,271.0,6.0,0.0,4.0,436.0,0.0,22.0,0.0,59.0,5.0,0.0,31.0,25.0,2.0,41.0,0.0,83.0,6.0,1.0,112.0,54.0,29.0,3.0,30.0,26.0,22.0,42.0,11.0,3.0,4.0,46.0,14.0,0.0,13.0,1.0,0.0,5.0,0.0,51.0,68.0,14.0,0.0,0.0,0.0,2.0,61.0,61.0,5.0,0.0,0.0,0.0,7.0,2.0,14.0,7.0,15.0,0.0,10.0,0.0,9.0,14.0,11.0,2.0
12,4.0,0.0,0.0,18.0,2.0,6.0,0.0,0.0,4.0,3.0,35.0,2.0,2.0,0.0,6.0,22.0,3.0,3.0,11.0,0.0,0.0,0.0,17.0,6.0,0.0,3.0,24.0,0.0,0.0,2.0,1.0,0.0,0.0,78.0,0.0,21.0,33.0,88.0,0.0,3.0,7.0,0.0,1.0,2.0,43.0,12.0,9.0,9.0,0.0,0.0,1.0,0.0,14.0,0.0,1.0,88.0,0.0,2.0,0.0,0.0,17.0,0.0,2.0,2.0,162.0,0.0,4.0,22.0,0.0,13.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,19.0,7.0,6.0,1.0,1.0,12.0,18.0,0.0,0.0,2.0,0.0,10.0,56.0,0.0,2.0,1.0,4.0,0.0,12.0,0.0,0.0,7.0,0.0,3.0,0.0,7.0,1.0,3.0,0.0,2.0,4.0,19.0,4.0,0.0,0.0,0.0,0.0,2.0,44.0,1.0,0.0,1.0,25.0,0.0,0.0,0.0,10.0,17.0,0.0,12.0,4.0,1.0,13.0,0.0,25.0,3.0,0.0,14.0,16.0,1.0,0.0,2.0,9.0,5.0,56.0,9.0,0.0,1.0,12.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,11.0,9.0,13.0,0.0,1.0,0.0,0.0,29.0,9.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,4.0,0.0,0.0,8.0,0.0,0.0
13,5.0,1.0,3.0,61.0,9.0,28.0,1.0,0.0,11.0,6.0,140.0,8.0,11.0,1.0,40.0,65.0,16.0,6.0,7.0,1.0,7.0,0.0,51.0,16.0,0.0,16.0,66.0,0.0,1.0,9.0,0.0,7.0,0.0,215.0,23.0,43.0,1.0,316.0,2.0,41.0,17.0,0.0,7.0,4.0,105.0,77.0,34.0,19.0,0.0,4.0,1.0,0.0,73.0,0.0,0.0,337.0,1.0,0.0,0.0,0.0,102.0,1.0,7.0,8.0,450.0,5.0,3.0,122.0,5.0,75.0,8.0,16.0,6.0,8.0,6.0,5.0,2.0,113.0,53.0,16.0,1.0,2.0,71.0,43.0,1.0,2.0,12.0,5.0,63.0,103.0,1.0,5.0,1.0,30.0,13.0,60.0,0.0,6.0,70.0,0.0,4.0,1.0,14.0,13.0,2.0,3.0,1.0,14.0,32.0,12.0,0.0,0.0,0.0,0.0,5.0,170.0,0.0,1.0,5.0,179.0,0.0,37.0,10.0,70.0,4.0,0.0,37.0,37.0,2.0,28.0,0.0,56.0,6.0,0.0,71.0,81.0,1.0,1.0,27.0,44.0,24.0,61.0,10.0,0.0,0.0,31.0,11.0,1.0,33.0,2.0,3.0,8.0,5.0,37.0,39.0,11.0,0.0,0.0,3.0,3.0,76.0,70.0,9.0,2.0,4.0,0.0,11.0,1.0,1.0,7.0,8.0,1.0,4.0,0.0,7.0,47.0,1.0,4.0
14,3.0,0.0,1.0,39.0,9.0,7.0,0.0,0.0,3.0,1.0,76.0,3.0,1.0,0.0,16.0,67.0,12.0,0.0,21.0,1.0,2.0,2.0,25.0,11.0,1.0,9.0,39.0,0.0,0.0,3.0,2.0,0.0,0.0,194.0,0.0,25.0,7.0,274.0,0.0,14.0,9.0,0.0,2.0,0.0,56.0,71.0,70.0,12.0,2.0,1.0,6.0,0.0,15.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,78.0,0.0,10.0,1.0,289.0,4.0,7.0,47.0,0.0,32.0,36.0,3.0,2.0,0.0,3.0,2.0,3.0,33.0,47.0,4.0,0.0,1.0,48.0,14.0,0.0,0.0,4.0,0.0,33.0,72.0,1.0,3.0,3.0,48.0,1.0,38.0,0.0,1.0,11.0,0.0,28.0,0.0,16.0,17.0,2.0,3.0,2.0,17.0,15.0,2.0,0.0,0.0,0.0,0.0,3.0,288.0,0.0,1.0,3.0,809.0,0.0,6.0,0.0,22.0,5.0,0.0,22.0,97.0,0.0,62.0,0.0,33.0,9.0,0.0,72.0,49.0,1.0,0.0,27.0,29.0,17.0,40.0,2.0,0.0,0.0,5.0,17.0,0.0,5.0,1.0,2.0,2.0,1.0,56.0,51.0,8.0,0.0,0.0,0.0,1.0,53.0,93.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,13.0,2.0,16.0,0.0,3.0,9.0,7.0,1.0
15,12.0,0.0,1.0,43.0,20.0,11.0,0.0,0.0,8.0,3.0,128.0,3.0,66.0,0.0,19.0,69.0,19.0,0.0,20.0,0.0,2.0,0.0,47.0,10.0,0.0,15.0,50.0,0.0,0.0,3.0,1.0,2.0,0.0,236.0,0.0,45.0,8.0,298.0,0.0,17.0,10.0,0.0,4.0,0.0,62.0,63.0,54.0,14.0,0.0,3.0,4.0,5.0,63.0,0.0,0.0,217.0,0.0,5.0,0.0,0.0,68.0,1.0,8.0,6.0,470.0,1.0,9.0,72.0,17.0,108.0,19.0,7.0,14.0,5.0,4.0,11.0,0.0,66.0,41.0,2.0,0.0,0.0,59.0,36.0,0.0,0.0,18.0,2.0,53.0,129.0,2.0,5.0,2.0,40.0,0.0,51.0,0.0,1.0,17.0,0.0,5.0,0.0,12.0,13.0,1.0,2.0,6.0,11.0,36.0,40.0,0.0,0.0,0.0,0.0,5.0,294.0,24.0,4.0,5.0,371.0,0.0,21.0,0.0,57.0,4.0,0.0,24.0,23.0,1.0,34.0,0.0,54.0,5.0,0.0,72.0,76.0,1.0,1.0,46.0,25.0,15.0,80.0,52.0,1.0,4.0,16.0,11.0,0.0,15.0,1.0,0.0,6.0,2.0,46.0,44.0,7.0,0.0,1.0,1.0,0.0,62.0,47.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,14.0,0.0,10.0,1.0,4.0,15.0,2.0,5.0
16,2.0,0.0,1.0,63.0,6.0,48.0,0.0,0.0,11.0,15.0,142.0,8.0,1.0,0.0,29.0,54.0,16.0,8.0,8.0,0.0,4.0,1.0,54.0,18.0,2.0,14.0,92.0,0.0,0.0,21.0,5.0,0.0,0.0,220.0,0.0,38.0,28.0,402.0,0.0,22.0,18.0,0.0,4.0,1.0,96.0,96.0,32.0,17.0,0.0,5.0,8.0,1.0,61.0,0.0,0.0,323.0,0.0,0.0,1.0,1.0,70.0,1.0,14.0,6.0,517.0,5.0,10.0,82.0,4.0,47.0,10.0,21.0,19.0,3.0,13.0,5.0,2.0,142.0,120.0,2.0,2.0,2.0,79.0,57.0,1.0,0.0,20.0,2.0,61.0,144.0,0.0,4.0,12.0,24.0,6.0,49.0,0.0,0.0,43.0,1.0,14.0,0.0,16.0,5.0,4.0,2.0,2.0,5.0,49.0,6.0,0.0,0.0,0.0,0.0,4.0,119.0,3.0,1.0,1.0,68.0,1.0,19.0,0.0,103.0,4.0,0.0,33.0,17.0,2.0,15.0,0.0,75.0,18.0,0.0,74.0,77.0,3.0,4.0,13.0,48.0,18.0,54.0,51.0,2.0,10.0,38.0,9.0,1.0,19.0,3.0,1.0,10.0,2.0,55.0,74.0,10.0,0.0,1.0,0.0,2.0,100.0,80.0,9.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,15.0,0.0,9.0,0.0,9.0,13.0,1.0,2.0
17,3.0,0.0,2.0,46.0,3.0,8.0,0.0,0.0,6.0,0.0,97.0,4.0,2.0,0.0,8.0,44.0,10.0,1.0,15.0,0.0,0.0,0.0,25.0,6.0,1.0,34.0,46.0,0.0,0.0,3.0,1.0,0.0,0.0,174.0,0.0,10.0,8.0,170.0,0.0,8.0,13.0,0.0,1.0,9.0,34.0,53.0,40.0,48.0,0.0,0.0,4.0,4.0,10.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,52.0,0.0,5.0,15.0,286.0,4.0,12.0,79.0,2.0,81.0,30.0,6.0,7.0,4.0,4.0,2.0,0.0,80.0,149.0,6.0,2.0,0.0,41.0,36.0,1.0,0.0,5.0,1.0,35.0,91.0,1.0,0.0,6.0,94.0,0.0,37.0,1.0,0.0,8.0,0.0,71.0,0.0,11.0,4.0,2.0,1.0,2.0,6.0,11.0,3.0,0.0,0.0,18.0,0.0,4.0,159.0,0.0,1.0,5.0,231.0,0.0,12.0,0.0,36.0,2.0,0.0,22.0,24.0,1.0,16.0,0.0,33.0,0.0,0.0,62.0,126.0,3.0,0.0,15.0,19.0,4.0,55.0,6.0,3.0,78.0,13.0,3.0,1.0,82.0,2.0,0.0,4.0,0.0,23.0,40.0,9.0,0.0,0.0,0.0,2.0,61.0,33.0,6.0,0.0,0.0,0.0,3.0,82.0,84.0,0.0,16.0,2.0,3.0,0.0,30.0,5.0,0.0,2.0
18,6.0,0.0,4.0,49.0,4.0,28.0,0.0,0.0,3.0,1.0,124.0,11.0,4.0,0.0,25.0,44.0,16.0,0.0,14.0,0.0,0.0,1.0,131.0,35.0,2.0,23.0,77.0,0.0,1.0,9.0,0.0,0.0,0.0,195.0,0.0,139.0,3.0,314.0,1.0,8.0,18.0,0.0,1.0,1.0,91.0,75.0,45.0,13.0,0.0,1.0,2.0,0.0,71.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,75.0,0.0,7.0,17.0,341.0,3.0,15.0,86.0,4.0,47.0,24.0,4.0,14.0,9.0,10.0,5.0,1.0,74.0,32.0,44.0,2.0,0.0,54.0,35.0,1.0,1.0,17.0,1.0,48.0,84.0,0.0,0.0,3.0,22.0,4.0,62.0,0.0,0.0,32.0,0.0,9.0,0.0,19.0,4.0,2.0,9.0,7.0,4.0,25.0,2.0,0.0,0.0,0.0,0.0,4.0,219.0,0.0,3.0,7.0,183.0,0.0,8.0,0.0,122.0,3.0,0.0,55.0,31.0,0.0,35.0,0.0,49.0,6.0,0.0,73.0,85.0,2.0,3.0,19.0,33.0,11.0,45.0,16.0,1.0,12.0,11.0,11.0,0.0,7.0,3.0,0.0,35.0,2.0,26.0,38.0,7.0,0.0,0.0,1.0,1.0,103.0,32.0,5.0,0.0,0.0,0.0,8.0,0.0,2.0,6.0,24.0,0.0,7.0,0.0,10.0,19.0,26.0,7.0
19,12.0,5.0,4.0,114.0,12.0,63.0,32.0,3.0,22.0,28.0,382.0,34.0,28.0,0.0,59.0,235.0,32.0,30.0,24.0,1.0,28.0,1.0,147.0,36.0,3.0,47.0,137.0,2.0,2.0,19.0,17.0,2.0,3.0,534.0,0.0,238.0,41.0,770.0,22.0,99.0,56.0,1.0,19.0,4.0,271.0,176.0,33.0,61.0,0.0,5.0,10.0,9.0,43.0,0.0,0.0,660.0,0.0,3.0,0.0,1.0,200.0,4.0,34.0,73.0,1233.0,9.0,81.0,228.0,0.0,90.0,50.0,75.0,43.0,83.0,32.0,21.0,1.0,242.0,277.0,119.0,3.0,1.0,141.0,111.0,5.0,0.0,48.0,4.0,118.0,298.0,10.0,11.0,10.0,43.0,4.0,84.0,2.0,2.0,125.0,1.0,43.0,0.0,53.0,39.0,13.0,7.0,14.0,43.0,125.0,13.0,5.0,0.0,30.0,5.0,14.0,199.0,2.0,2.0,1.0,266.0,1.0,46.0,1.0,200.0,14.0,3.0,71.0,136.0,13.0,95.0,1.0,98.0,9.0,2.0,146.0,237.0,5.0,17.0,72.0,154.0,31.0,157.0,32.0,21.0,19.0,57.0,15.0,2.0,78.0,26.0,1.0,23.0,8.0,89.0,137.0,16.0,1.0,0.0,0.0,15.0,129.0,83.0,30.0,4.0,9.0,0.0,32.0,0.0,2.0,16.0,38.0,3.0,58.0,1.0,6.0,27.0,4.0,5.0
