user_id,cluster,dominant_poi_type,aux_poi_types
33397,0,Airport,Mall;Airport Terminal;Burger Joint;School;Caf
912,4,Bus Line,Bus Station;Mall;High School;Subway;Food Court
41607,0,Mall,Subway;Hotel;Bus Line;Tea Room;Department Store
140074,0,Mall,Food Court;Chinese Restaurant;High School;Government Building;Fast Food Restaurant
34402,0,Subway,Church;Mall;Train Station;High School;Food Court
221155,0,Bus Station,Trade School;Mall;Caf;Airport Terminal;Fried Chicken Joint
37295,0,Church,Mall;Multiplex;High School;Airport Terminal;School
4441,4,Train Station,High School;Bus Station;Mall;Coffee Shop;Fried Chicken Joint
18563,0,High School,Mall;Bus Station;Food Court;Hospital;Fast Food Restaurant
12763,4,Subway,Mall;Bus Line;Bus Station;High School;College Cafeteria
49984,0,Bus Station,Government Building;Food Court;Mall;High School;Subway
259162,3,General College & University,
159705,0,Italian Restaurant,Caf;Church;Coffee Shop;Ice Cream Shop;Mall
201191,0,Mall,Train Station;Bus Line;Subway;Airport Terminal;Boutique
234049,0,Mall,Food Court;Church;High School;Coffee Shop;Fast Food Restaurant
52987,0,High School,Bus Line;Mall;American Restaurant;Chinese Restaurant;Asian Restaurant
259167,0,Bus Line,High School;Bus Station;Mall;Train Station;College Cafeteria
79974,0,High School,Mall;Subway;Bus Station;Flea Market;Burger Joint
1865,2,Church,Hospital;General College & University;Mall;Event Space;Food Court
240807,0,Hotel,Food Court;High School;Mall;Tea Room;Airport Terminal
12764,2,Mall,Bus Station;High School;Bus Line;Subway;Tea Room
7532,4,Bus Station,Bus Line;Mall;Subway;Food Court;Hotel
34664,0,High School,Church;School;Fast Food Restaurant;Mall;Ramen /  Noodle House
71426,0,Mall,High School;Bus Station;Subway;Bus Line;Church
21942,2,Subway,Gym;Chinese Restaurant;Church;Mall;Trade School
221167,0,Food Court,Mall;School;Boutique;Coffee Shop;Government Building
93761,3,General College & University,
47580,0,Nightclub,Mall;Asian Restaurant;Hospital;Chinese Restaurant;Food Court
61854,3,General College & University,Mall;Fast Food Restaurant;Food Court;Fried Chicken Joint;Government Building
4876,0,Nightclub,Bus Station;Mall;Hospital;Subway;Resort
35446,0,High School,Mall;Bus Station;Coffee Shop;Fried Chicken Joint;Ice Cream Shop
119623,0,Mall,High School;Burger Joint;Fast Food Restaurant;Subway;Grocery Store
14922,0,High School,Bus Station;General Entertainment;Church;Coffee Shop;Mall
135375,0,High School,School;Coffee Shop;Hospital;American Restaurant;General Entertainment
237343,0,Mall,High School;Church;General Entertainment;School
76341,0,Bus Station,Mall;Fast Food Restaurant;Subway;High School;Food Court
22080,2,Coffee Shop,High School;Food Court;Fast Food Restaurant;Mall;Multiplex
41936,2,Mall,Subway;Tea Room;Fast Food Restaurant;High School;Food Court
117018,0,Mall,High School;Bus Line;Bus Station;Food Court;Multiplex
57358,0,High School,Caf;Fast Food Restaurant;Mall;Italian Restaurant;Bus Station
20633,2,Subway,Train Station;Sushi Restaurant;Coffee Shop;Hospital;Bus Station
34662,0,Bus Station,Bus Line;High School;College Cafeteria;Mall;Fast Food Restaurant
255377,2,Mall,Hotel;Chinese Restaurant;Church;Tea Room;Sushi Restaurant
76342,0,Mall,Park;Department Store;Event Space;American Restaurant;Food Court
122331,2,Mall,High School;Food Court;Ice Cream Shop;Multiplex;Japanese Restaurant
141764,0,Mall,High School;Chinese Restaurant;Italian Restaurant;American Restaurant;Hospital
21292,4,Bus Line,Bus Station;High School;Mall;Food Court;Subway
3955,4,Bus Station,Mall;Bus Line;Grocery Store;Asian Restaurant;American Restaurant
23632,2,Mall,Caf;Flea Market;Food Court;General Entertainment;High School
167825,0,High School,Bus Line;Bus Station;Chinese Restaurant;Mall;School
12443,2,Mall,Fast Food Restaurant;Food Court;Asian Restaurant;Bus Station;Bar
169979,0,Hospital,Airport;Japanese Restaurant;American Restaurant;General Entertainment;Ice Cream Shop
22634,4,Mall,High School;Bus Line;Fast Food Restaurant;Bus Station;Food Court
190717,0,Gym,High School;Multiplex;Caf;Chinese Restaurant;Coffee Shop
150355,0,Mall,High School;Flea Market;Nightclub;Coffee Shop;Hotel
106250,0,Bus Station,Train Station;Mall;Fast Food Restaurant;Food Court;Subway
10665,4,High School,Bus Station;Train Station;Mall;Fast Food Restaurant;Asian Restaurant
248000,0,Mall,Coffee Shop;High School;Chinese Restaurant;Fast Food Restaurant;Flea Market
67694,0,Subway,Mall;Food Court;Train Station;Caf;Airport Terminal
13904,2,Mall,Subway;Bus Station;Boutique;Multiplex;Dessert Shop
5221,4,High School,Train Station;Mall;Fast Food Restaurant;Bus Station;Subway
31536,0,High School,Bus Station;Mall;General College & University;Fast Food Restaurant;Train Station
12830,4,Bus Station,Subway;Train Station;Coffee Shop;Food Court;Government Building
255389,0,High School,Mall;Fried Chicken Joint;Food Court;Burger Joint;Bus Station
123717,2,Mall,Fast Food Restaurant;Japanese Restaurant;Dessert Shop;High School;Boutique
3671,3,High School,College Cafeteria;College Academic Building;Mall;Department Store;Food Court
12304,2,Mall,Coffee Shop;School;Food Court;Subway;Church
105124,0,High School,Fast Food Restaurant;Mall;Bus Station;Food Court;Coffee Shop
19370,0,Asian Restaurant,Mall;High School;Bus Station;Grocery Store;Food Court
195938,0,Mall,Food Court;Fast Food Restaurant;Furniture / Home Store;Seafood Restaurant;Burger Joint
48792,0,High School,Mall;Fast Food Restaurant;Food Court;American Restaurant;Burger Joint
39404,0,Bus Station,High School;Mall;School;Bus Line;Coffee Shop
16222,0,School,High School;Park;Fast Food Restaurant;Mall;Flea Market
45986,0,High School,Bus Line;College Cafeteria;Bus Station
10351,4,Bus Station,Train Station;Mall;Bus Line;Food Court;Subway
126525,0,High School,Mall;Bus Line;Coffee Shop;Food Court;Bus Station
79241,0,Mall,Subway;Train Station;Hospital;Japanese Restaurant;Tea Room
44634,0,Government Building,Event Space;Food Court;Resort;Coffee Shop;Flea Market
2820,0,Train Station,Subway;Mall;Bus Station;General Entertainment;Ramen /  Noodle House
183486,0,Church,Coffee Shop;High School;Mall;American Restaurant;Boutique
234093,0,High School,Mall;Train Station;Food Court;American Restaurant;Clothing Store
155914,0,High School,Mall;Fast Food Restaurant;Hotel;American Restaurant;College Academic Building
31086,2,Mall,Food Court;High School;Multiplex;Coffee Shop;Fast Food Restaurant
67708,0,Mall,Subway;Food Court;Asian Restaurant;Caf;Event Space
259232,0,School,Mall;Caf;Chinese Restaurant;Food Court;Hotel
176562,2,Food Court,Government Building;Chinese Restaurant;Caf;Italian Restaurant;Japanese Restaurant
4047,4,Government Building,Bus Station;Coffee Shop;Mall;Bus Line;Food Court
9446,2,Gym,Mall;Airport Terminal;Food Court;Asian Restaurant;Caf
212275,0,Bus Station,Bus Line;Mall;Train Station;Asian Restaurant;Grocery Store
46405,0,Government Building,Mall;Subway;Food Court;College Academic Building;Event Space
138564,0,Mall,Government Building;Multiplex;Burger Joint;Park;Dessert Shop
412,4,Bus Station,High School;Train Station;Mall;Subway;Fast Food Restaurant
33177,2,American Restaurant,Bus Station;Food Court;Mall;Event Space;General Entertainment
86536,2,Mall,General College & University;Airport Terminal;Church;Chinese Restaurant;Caf
206604,0,Mall,Gym;Nightclub;Hospital;Burger Joint;Hotel
5354,2,Mall,Subway;Multiplex;Coffee Shop;Food Court;Tea Room
41323,4,Bus Station,Coffee Shop;Asian Restaurant;Bus Line;Train Station;Mall
135418,0,Mall,Asian Restaurant;Italian Restaurant;Japanese Restaurant;Train Station;Coffee Shop
437,4,Bus Station,Food Court;Train Station;Mall;Asian Restaurant;Subway
28416,3,College Cafeteria,Bus Station;Food Court;General College & University;Hospital;Train Station
59342,0,Mall,Fast Food Restaurant;Boutique;Asian Restaurant;Bus Station;Flea Market
4029,2,Coffee Shop,Sushi Restaurant;Burger Joint;Ramen /  Noodle House;Ice Cream Shop;Dessert Shop
110957,0,Mall,Fast Food Restaurant;Food Court;High School;Chinese Restaurant;Dessert Shop
30666,2,Mall,Multiplex;Nightclub;Caf;Bar;Chinese Restaurant
190754,0,High School,Mall;Caf;Fast Food Restaurant;Multiplex;Asian Restaurant
467,4,Mall,Subway;Train Station;Food Court;Bus Station;Grocery Store
77081,0,Bus Line,Bus Station;University;Mall;Subway;Caf
119660,0,Mall,Gym;Resort;General College & University;Chinese Restaurant;Government Building
115804,0,College Cafeteria,Fast Food Restaurant;High School;Government Building;Mall;American Restaurant
46019,2,Gym,Mall;Coffee Shop;Train Station;Fast Food Restaurant;Caf
10887,0,Mall,Japanese Restaurant;Church;Food Court;Subway;Train Station
143,4,Subway,Train Station;Mall;Bus Station;Food Court;Government Building
259256,0,University,Mall;Subway;Airport Terminal;Asian Restaurant;Department Store
172138,0,University,Mall;Multiplex;Church;Chinese Restaurant;Food Court
50817,0,Mall,Fast Food Restaurant;Food Court;Subway;Chinese Restaurant;Boutique
84027,0,Asian Restaurant,Coffee Shop;Fast Food Restaurant;Mall;Bus Station;Chinese Restaurant
154135,0,High School,Mall;College Academic Building;Fried Chicken Joint;Bus Line;Bus Station
19031,4,Bus Station,Subway;Church;Mall;Gym;Food Court
112117,2,Mall,Church;American Restaurant;Asian Restaurant;Furniture / Home Store;Gym
5287,4,Flea Market,Bus Line;Mall;Food Court;Subway;Church
115810,2,Japanese Restaurant,Chinese Restaurant;Hotel;Asian Restaurant;Grocery Store;Italian Restaurant
118349,0,Mall,Nightclub;Hotel;Bar;Asian Restaurant;Food Court
40055,0,Subway,University;Mall;Train Station;Boutique;Tea Room
218177,0,Food Court,Asian Restaurant;Grocery Store;Chinese Restaurant;Mall;Hospital
90135,2,Mall,Multiplex;Chinese Restaurant;High School;Ice Cream Shop;Airport
85698,2,Mall,Chinese Restaurant;Japanese Restaurant;Caf;Dessert Shop;High School
78498,0,Subway,High School;Food Court;Train Station;General College & University;Mall
4215,0,Subway,Park;Bus Station;Bus Line;Mall;Government Building
218184,2,Mall,American Restaurant;Food Court;Subway;Trade School;Asian Restaurant
7179,2,Mall,Food Court;Burger Joint;Bus Station;Italian Restaurant;Coffee Shop
27760,4,Train Station,Mall;Subway;College Cafeteria;Trade School;Bus Station
78501,2,Mall,Department Store;Bus Station;High School;Coffee Shop;Multiplex
60853,0,Gym,Mall;Asian Restaurant;Caf;Airport Terminal;Department Store
59347,2,Subway,General College & University;Caf;Mall;Train Station;Department Store
244491,0,Subway,Mall;Train Station;Coffee Shop;Hospital;Grocery Store
178865,0,Gym,Chinese Restaurant;Mall;Food Court;Japanese Restaurant;Restaurant
377,4,Fried Chicken Joint,Gym;Event Space;Nightclub;Food Court;Resort
127996,0,Mall,Church;High School;Airport Terminal;Restaurant;Event Space
2391,4,Park,Mall;Food Court;Tea Room;Fast Food Restaurant;Subway
248072,0,Mall,High School;Ice Cream Shop;School;Subway;Chinese Restaurant
73,5,Bus Station,Mall;Food Court;Subway;Coffee Shop;Fast Food Restaurant
37636,2,Airport Terminal,Bar;Asian Restaurant;Mall;Coffee Shop;Food Court
140146,0,Mall,Bus Line;Bus Station;Chinese Restaurant;Clothing Store;Food Court
240909,0,Gym,Coffee Shop;Sushi Restaurant;Hospital;Japanese Restaurant;Ramen /  Noodle House
174351,0,Food Court,Coffee Shop;Fast Food Restaurant;Mall;Asian Restaurant;Chinese Restaurant
117078,0,Mall,Caf;General College & University;Coffee Shop;Airport;Bar
63554,2,Chinese Restaurant,Caf;Restaurant;Hotel;Asian Restaurant;Japanese Restaurant
204008,0,Trade School,
234135,0,Train Station,School;Trade School;Multiplex;Caf;General College & University
181170,0,Restaurant,Food Court;Mall;Coffee Shop;Asian Restaurant;Department Store
227594,0,Caf,Chinese Restaurant;Ice Cream Shop;Mall;Asian Restaurant;Italian Restaurant
240920,0,Boutique,Chinese Restaurant;Asian Restaurant;Ramen /  Noodle House;Caf;Fast Food Restaurant
96714,2,Subway,Mall;Department Store;Flea Market;University;Dessert Shop
201311,0,Mall,School;Event Space;Food Court;Fast Food Restaurant;Hospital
15783,2,Mall,College Academic Building;Hotel;Caf;Train Station;Fast Food Restaurant
117085,0,Mall,Coffee Shop;Multiplex;Sushi Restaurant;Chinese Restaurant;Flea Market
82417,0,Mall,Food Court;Train Station;Fast Food Restaurant;Gym;High School
215286,0,Mall,Tea Room;Flea Market;Italian Restaurant;Ramen /  Noodle House;Bus Line
129438,0,Mall,University;Chinese Restaurant;Ice Cream Shop;Nightclub;American Restaurant
123770,0,Mall,Subway;Flea Market;Food Court;Hotel;Airport Terminal
100781,2,Mall,Department Store;Boutique;Coffee Shop;High School;Hotel
117088,0,Coffee Shop,Ice Cream Shop;Mall;Food Court;Caf;American Restaurant
42910,0,Subway,Mall;Train Station;Fast Food Restaurant;General College & University;High School
161739,0,Mall,Train Station;Food Court;Coffee Shop;Fast Food Restaurant
198613,0,Mall,Coffee Shop;Food Court;Seafood Restaurant;American Restaurant;Multiplex
119692,0,Mall,Tea Room;Coffee Shop;Sushi Restaurant;Multiplex;Ramen /  Noodle House
48739,0,Mall,Caf;Food Court;Chinese Restaurant;Grocery Store;Boutique
193360,0,High School,Mall;Food Court;Coffee Shop;Fast Food Restaurant;Bus Line
118368,2,Chinese Restaurant,Food Court;Event Space;Airport Terminal;Asian Restaurant;Caf
3797,2,Mall,Subway;Food Court;Nightclub;Grocery Store;Flea Market
193361,0,Mall,Caf;Chinese Restaurant;Hotel;Burger Joint;Fast Food Restaurant
26471,2,Mall,Chinese Restaurant;Food Court;Grocery Store;Fast Food Restaurant;Asian Restaurant
53467,0,Mall,Asian Restaurant;Train Station;Food Court;Japanese Restaurant;Caf
234158,0,School,Bus Station;College Cafeteria;Mall;Bus Line;High School
2400,4,Mall,Train Station;Subway;Chinese Restaurant;Resort;Multiplex
101860,2,Mall,Food Court;Seafood Restaurant;Department Store;Bar;Boutique
110989,3,General College & University,Trade School;College Academic Building;Mall;Coffee Shop;Food Court
70870,0,Nightclub,Mall;Restaurant;Chinese Restaurant;General Entertainment;Multiplex
75687,0,Nightclub,Mall;Italian Restaurant;Department Store;Japanese Restaurant;Restaurant
14144,2,Mall,Coffee Shop;Chinese Restaurant;College Academic Building;Bus Station;General College & University
68967,0,Bus Station,Coffee Shop;General College & University;Mall;College Academic Building;Food Court
98734,0,Government Building,Food Court;Mall;Bus Station;Event Space;Train Station
63022,0,General College & University,Mall;School;Church;Caf;Food Court
11063,2,Coffee Shop,Food Court;Asian Restaurant;Mall;Gym;Caf
161755,0,General College & University,College Cafeteria;Fast Food Restaurant;Train Station;Coffee Shop;Mall
150430,0,Multiplex,Asian Restaurant;Chinese Restaurant;Mall;Nightclub;Bus Station
138603,2,Mall,Subway;Caf;Resort;Bar;Chinese Restaurant
41964,0,Mall,Airport Terminal;Asian Restaurant;Boutique;Flea Market;Caf
16510,0,Subway,Mall;Government Building;Coffee Shop;Fast Food Restaurant;Fried Chicken Joint
170058,0,Mall,General College & University;Church;College Cafeteria;Hotel;Resort
255497,0,Caf,Fast Food Restaurant;Food Court;Mall;Ramen /  Noodle House;Tea Room
4978,2,Mall,Seafood Restaurant;Food Court;University;Church;Coffee Shop
97704,0,Bus Station,Hospital;Food Court;Mall;Grocery Store;Resort
196036,2,Mall,Chinese Restaurant;Multiplex;Subway;Park;Asian Restaurant
48815,2,Mall,Chinese Restaurant;Food Court;Fast Food Restaurant;General College & University;Asian Restaurant
2108,0,Bus Line,Mall;Subway;Airport;Airport Terminal;Fast Food Restaurant
115846,0,Mall,Hotel;Chinese Restaurant;Fast Food Restaurant;Ramen /  Noodle House;Asian Restaurant
77805,0,Fast Food Restaurant,Caf;Chinese Restaurant;Bar;Tea Room;American Restaurant
7973,0,Mall,Food Court;Bus Station;Fast Food Restaurant;Gym;Train Station
41001,0,General College & University,Train Station;Bus Station;Food Court;Bus Line;Mall
96736,0,Mall,Bus Station;Train Station;Food Court;Grocery Store;Government Building
185934,0,Mall,Flea Market;Food Court;Caf;Dessert Shop;Hotel
53042,2,Mall,Japanese Restaurant;Chinese Restaurant;Ice Cream Shop;Asian Restaurant;Multiplex
150435,0,Mall,Flea Market;Coffee Shop;Multiplex;Caf;Fast Food Restaurant
71476,0,Mall,Coffee Shop;Bar;School;Boutique;Caf
109825,2,Mall,Coffee Shop;Chinese Restaurant;Fast Food Restaurant;Food Court;Ramen /  Noodle House
185935,2,Coffee Shop,Caf;Chinese Restaurant;Dessert Shop;Ice Cream Shop;Clothing Store
82433,0,Mall,Trade School;Church;School;Sushi Restaurant;Caf
224441,0,Mall,Bar;Chinese Restaurant;Multiplex;Coffee Shop;College Academic Building
72795,2,Church,Tea Room;Ramen /  Noodle House;Park;Food Court;Hotel
95750,0,Subway,Mall;Bus Station;Fast Food Restaurant;Train Station;Bus Line
19030,0,Hotel,Mall;Resort;Food Court;Fast Food Restaurant;Furniture / Home Store
91049,0,Church,Mall;Hospital;Sushi Restaurant;Airport Terminal;Ice Cream Shop
178914,0,Mall,Church;Chinese Restaurant;Caf;Coffee Shop;General Entertainment
145144,2,Sushi Restaurant,Mall;Chinese Restaurant;Caf;Department Store;Hotel
36819,2,Boutique,Mall;Coffee Shop;Fast Food Restaurant;Multiplex;School
152322,0,Mall,Furniture / Home Store;Food Court;Park;Caf;Fast Food Restaurant
14847,0,Mall,Caf;Boutique;Department Store;Food Court;Multiplex
132329,0,Hotel,Chinese Restaurant;Asian Restaurant;Mall;Bar;Caf
53476,0,High School,Mall;Trade School;School;Fast Food Restaurant;Airport
15439,2,Mall,Bus Station;Clothing Store;Flea Market;Subway;Boutique
19626,2,Train Station,Mall;Subway;Food Court;Coffee Shop;Multiplex
138623,0,Government Building,Subway;Burger Joint;Flea Market;Grocery Store;Bus Line
73526,0,Mall,General College & University;University;College Academic Building;Fast Food Restaurant;Food Court
77808,0,High School,Bus Line;Bus Station;College Cafeteria;Mall;Fried Chicken Joint
27989,0,Train Station,Mall;Bus Station;Fast Food Restaurant;Food Court;Multiplex
99693,0,Mall,Subway;High School;Fast Food Restaurant;Seafood Restaurant;Food Court
84059,0,Bar,Airport Terminal;Caf;Coffee Shop;Food Court;Restaurant
125208,0,Gym,Caf;Coffee Shop;Mall;Food Court;Church
92882,0,Mall,Caf;Train Station;Bus Station;Japanese Restaurant;Ramen /  Noodle House
157878,0,Mall,Multiplex;College Academic Building;Dessert Shop;Chinese Restaurant;Subway
84885,0,Mall,Food Court;University;Subway;Nightclub;Asian Restaurant
20509,0,Mall,Hotel;Seafood Restaurant;Chinese Restaurant;Food Court;Ramen /  Noodle House
44304,2,Bus Line,Food Court;Bus Station;High School;Mall;Chinese Restaurant
99784,2,Mall,High School;Italian Restaurant;Train Station;Bus Line;School
201357,0,Mall,High School;Coffee Shop;College Academic Building;Fast Food Restaurant;Hospital
237516,0,Hospital,Mall;Japanese Restaurant;Food Court;American Restaurant;Asian Restaurant
130907,0,General College & University,Mall;High School;American Restaurant;College Cafeteria;Bus Station
14388,2,Mall,Bus Station;General College & University;College Cafeteria;Bus Line;Train Station
263249,0,High School,Mall;Chinese Restaurant;Event Space;Multiplex;Airport Terminal
68331,2,Asian Restaurant,Food Court;Caf;Fast Food Restaurant;Church;Burger Joint
115870,0,Airport Terminal,Mall;General Entertainment;Airport;Flea Market;Bus Station
121067,2,Boutique,Caf;Chinese Restaurant;Coffee Shop;Fast Food Restaurant;Multiplex
83280,0,Trade School,Mall;Train Station;Tea Room;Food Court;Hospital
87480,0,Hotel,Caf;Coffee Shop;Japanese Restaurant;Mall;Food Court
102900,2,Mall,Grocery Store;Food Court;Ice Cream Shop;Caf;Coffee Shop
24939,2,Coffee Shop,Chinese Restaurant;Mall;Caf;Food Court;Hotel
198649,0,Bus Station,Mall;Coffee Shop;Event Space;Multiplex;Resort
92890,0,Mall,General Entertainment;College Academic Building;Chinese Restaurant;Furniture / Home Store;Sushi Restaurant
85692,0,Bus Station,Mall;Subway;Bus Line;Coffee Shop;Train Station
84064,0,Mall,Bus Station;Coffee Shop;Train Station;Bus Line;Fast Food Restaurant
100822,0,College Academic Building,Ice Cream Shop;Restaurant;American Restaurant;Caf;Food Court
1402,4,Subway,Tea Room;Mall;Chinese Restaurant;Clothing Store;Boutique
263258,2,Chinese Restaurant,Caf;Coffee Shop;Asian Restaurant;Furniture / Home Store;Hotel
101905,0,High School,Mall;Fast Food Restaurant;Bus Station;Multiplex;Coffee Shop
50042,0,Mall,Subway;Fast Food Restaurant;Trade School;Tea Room;Bus Station
114600,0,Mall,Department Store;Burger Joint;Food Court;Asian Restaurant;High School
24615,0,Church,Mall;School;High School;Subway;Fast Food Restaurant
17745,4,Train Station,Subway;University;Multiplex;Tea Room;Coffee Shop
4667,4,Mall,Train Station;Subway;Trade School;Bus Station;Department Store
56325,0,Mall,Subway;Burger Joint;Chinese Restaurant;Asian Restaurant;Flea Market
95766,2,Mall,Flea Market;Dessert Shop;Caf;Chinese Restaurant;Food Court
50828,0,Bus Station,Mall;Food Court;Japanese Restaurant;Italian Restaurant;Subway
11915,4,Bus Station,Mall;Trade School;Train Station;Food Court;College Cafeteria
15098,0,High School,General Entertainment;Asian Restaurant;Church;Fast Food Restaurant;Mall
45019,2,Mall,Hotel;General College & University;Department Store;Asian Restaurant;Caf
159845,0,Coffee Shop,Chinese Restaurant;Japanese Restaurant;Mall;Bus Station;Fast Food Restaurant
13322,2,Mall,General College & University;Clothing Store;Department Store;Boutique;College Cafeteria
16135,2,Mall,Subway;Train Station;Bus Station;Flea Market;Multiplex
201374,0,High School,Bus Station;Chinese Restaurant;Coffee Shop;Fast Food Restaurant
21033,0,Church,Mall;Coffee Shop;Fried Chicken Joint;Asian Restaurant;Bar
33690,2,Coffee Shop,Food Court;Hospital;Mall;Chinese Restaurant;Multiplex
237442,0,Food Court,Hotel;Asian Restaurant;Caf;Mall;Airport Terminal
121082,0,Mall,Fast Food Restaurant;Seafood Restaurant;Chinese Restaurant;Event Space;Food Court
26826,2,Chinese Restaurant,Coffee Shop;Sushi Restaurant;Food Court;Fast Food Restaurant;Caf
9975,0,Mall,Bus Station;High School;Airport;Airport Terminal;Train Station
248188,0,Bus Station,Mall;Food Court;General College & University;College Cafeteria;Fast Food Restaurant
123725,0,High School,Mall;Asian Restaurant;Flea Market;Food Court;Subway
221362,0,Subway,Gym;Train Station;Bus Station;Mall;Fast Food Restaurant
60881,0,Mall,Subway;Bus Line;Flea Market;Caf;Fast Food Restaurant
65914,0,Mall,Hospital;Tea Room;Bus Line;Fast Food Restaurant;Flea Market
104049,0,Mall,Nightclub;Trade School;General Entertainment;Hotel;College Cafeteria
64150,2,Caf,Chinese Restaurant;Airport Terminal;Dessert Shop;Ramen /  Noodle House;Food Court
163839,0,Mall,Japanese Restaurant;Seafood Restaurant;Chinese Restaurant;Airport Terminal;Bar
7050,2,Mall,Coffee Shop;Caf;Airport;Chinese Restaurant;Church
56334,0,Mall,Train Station;High School;Japanese Restaurant;Subway;Hotel
141897,0,Mall,Chinese Restaurant;Food Court;Hotel;Japanese Restaurant;Restaurant
51280,0,Multiplex,General Entertainment;Mall;Subway;Boutique;Hotel
24468,0,High School,College Cafeteria;Train Station;Bus Line;Mall;Bus Station
19503,0,Mall,Coffee Shop;Trade School;Fast Food Restaurant;Multiplex;Event Space
114613,0,Mall,Food Court;Subway;American Restaurant;Coffee Shop;Park
126532,0,Nightclub,Bar;Fast Food Restaurant
156033,0,Nightclub,General College & University;Mall;Chinese Restaurant;College Cafeteria;Event Space
51697,0,Mall,Train Station;Bus Line;Subway;Furniture / Home Store;University
67113,0,Coffee Shop,General College & University;Fast Food Restaurant;Food Court;High School;Multiplex
4095,0,Seafood Restaurant,Coffee Shop;General Entertainment;Mall;Asian Restaurant
11431,2,Mall,Hotel;Fast Food Restaurant;Gym;Clothing Store;Boutique
227689,0,Train Station,Mall;Subway;Food Court;Coffee Shop;Fast Food Restaurant
36271,2,Mall,College Cafeteria;General College & University;Tea Room;Burger Joint;Caf
19261,4,Subway,Bus Line;Trade School;Bus Station;Mall;Church
95782,0,Mall,Hospital;University;Caf;Hotel;Coffee Shop
83156,0,University,Mall;Ice Cream Shop;Food Court;Government Building;Japanese Restaurant
148677,0,General College & University,Mall;Asian Restaurant;Fast Food Restaurant
37970,0,Tea Room,Mall;Gym;Chinese Restaurant;Church;Fast Food Restaurant
2768,4,Bus Line,Bus Station;Train Station;Mall;Food Court;Multiplex
209590,0,Food Court,Mall;Hospital;Japanese Restaurant;Boutique;Clothing Store
104055,0,Mall,Chinese Restaurant;General College & University;Nightclub;Restaurant;Airport
77124,2,Nightclub,Mall;Coffee Shop;Multiplex;Food Court;General College & University
150491,0,Hotel,Caf;College Academic Building;General College & University;Food Court;Fried Chicken Joint
19044,0,Mall,Coffee Shop;Clothing Store;Boutique;Multiplex;Airport
172258,0,Church,Mall;Burger Joint;Hotel;Italian Restaurant;Chinese Restaurant
29651,2,Mall,Tea Room;Multiplex;Bus Station;Department Store;Fast Food Restaurant
145185,0,Mall,Japanese Restaurant;Caf;General College & University;Hospital;Airport Terminal
45032,2,Mall,Church;Coffee Shop;Caf;High School;Japanese Restaurant
108728,0,Mall,American Restaurant;Coffee Shop;Food Court;Nightclub;Caf
125255,0,Mall,Chinese Restaurant;Coffee Shop;Food Court;Italian Restaurant;Asian Restaurant
132372,0,Mall,Asian Restaurant;Coffee Shop;Nightclub;Resort;Chinese Restaurant
16,2,Mall,Nightclub;Multiplex;University;Food Court;High School
237604,0,High School,Food Court;Fast Food Restaurant;Fried Chicken Joint;Bus Station;Church
263321,0,Clothing Store,Tea Room;Food Court;Trade School;American Restaurant;Asian Restaurant
55363,2,Mall,Multiplex;Chinese Restaurant;Japanese Restaurant;Subway;Coffee Shop
251854,0,Government Building,
212439,0,Asian Restaurant,Clothing Store;Coffee Shop;Seafood Restaurant
